NRAS
MAP2K1
MAP2K2
AKT1
IGF1R
PIK3CA
MAP3K8
PDGFRB
RELA
PRKAA1
MAPK14
HIST1H3A
HIST1H3B
HIST1H3C
HIST1H3D
HIST1H3E
HIST1H3F
HIST1H3G
HIST1H3H
HIST1H3I
HIST1H3J
HIST2H3A
HIST2H3C
HIST2H3D
H3F3A
H3F3B
BCL2L11
MAPK8
MAPK9
MAPK10
JUN
STAT3
HSPB1
CDKN1B
CRTC1
RB1
RPS6
PARP1
