ID	symbol	synonyms	ensembl
41178684	Prune2-ps1	LOC120102547	
41178707	LOC120099844		
41178721	Nmd3-ps1	LOC120099164	
41178723	LOC120096460	U6	ENSRNOG00000056067
41178953	LOC120094949		ENSRNOG00000070942
41178995	LOC120100199	U6	ENSRNOG00000059273
41178998	LOC120098941		
41179058	LOC120103570		
41179128	LOC120099866		
41179135	LOC120101119	U2	ENSRNOG00000062689
41179363	LOC120102968		
41179368	LOC120093436		ENSRNOG00000065490
41179444	LOC120095349		ENSRNOG00000066138
41179471	LOC120099931		
41179476	LOC120101127	U4	ENSRNOG00000061021
41179479	LOC120099864		
41179485	LOC120093869		ENSRNOG00000064573;ENSRNOG00000070987
41179636	Zfp873l3	LOC120101822;Zfp873l1	ENSRNOG00000069723
41179648	LOC120096361		
41179725	Trnas-aga23	NEWGENE_40938314;Trnas-aga	
41179729	Rnu6-249	LOC120101952;U6	ENSRNOG00000052091
41179785	LOC120094634		
41179800	LOC120096787	AABR07014758.1	ENSRNOG00000055559
41179831	LOC120100444	Gm23911	ENSRNOG00000055881
41179892	LOC120093155		
41180045	LOC120101302		ENSRNOG00000066610
41180048	Ube2v1-ps14	LOC120102199	
41180056	LOC120097435		ENSRNOG00000068397
41180249	LOC120099190		ENSRNOG00000061094;ENSRNOG00000064144
41180258	LOC120101447		
41180448	LOC120097573		
41180480	LOC120094929	AABR07067657.1	ENSRNOG00000061512
41180541	Trnaa-agc49	NEWGENE_40934091;Trnaa-agc	
41180547	LOC120098403	ENSRNOG00000069602	ENSRNOG00000069602
41180729	LOC120102601	U6	ENSRNOG00000054987
41180745	LOC120093589		
41180783	LOC120095807		ENSRNOG00000068260
41180804	LOC120099767		ENSRNOG00000002100
41180815	LOC120097801		ENSRNOG00000068311
41180823	LOC120102592		ENSRNOG00000062929
41180854	LOC120096711		
41180861	LOC120093361		ENSRNOG00000070272
41180864	LOC120096431	U2	ENSRNOG00000063883
41181045	LOC120098362	AABR07031979.1	ENSRNOG00000061017
41181053	LOC120093704		
41181073	LOC120103385		ENSRNOG00000068171
41181148	Gapdh-ps44	LOC120096216	
41181179	LOC120095070		
41181263	LOC120101995		ENSRNOG00000066447
41181416	LOC120098145		ENSRNOG00000060136
41181423	LOC120100685		
41181501	LOC120103495		
41181563	LOC120094051		ENSRNOG00000065117
41181629	Tmem254-ps1	LOC120095945	
41181676	LOC120094433		ENSRNOG00000064292
41181679	LOC120102665	Gm22939	ENSRNOG00000060897
41181682	Pgam5-ps1	LOC120100984	
41181783	LOC120094404	U6	ENSRNOG00000058231
41181863	LOC120094047	U6	ENSRNOG00000069745
41181943	LOC120101305	AABR07013859.1	ENSRNOG00000053556
41181979	LOC120098365	AABR07032525.1	ENSRNOG00000060097
41181996	LOC120093613		
41182025	Hmgn4-ps5	LOC120099389	
41182145	Snord87	LOC120103285	ENSRNOG00000060290
41182148	LOC120093945	SNORA70	ENSRNOG00000059077
41182224	LOC120096841	U2	ENSRNOG00000060039
41182245	LOC120100957		
41182468	LOC120093634		
41182474	LOC120096227		
41182485	LOC120096405	AABR07021307.1	ENSRNOG00000052146
41182488	LOC120101832		
41182499	LOC120093712		
41182668	LOC120096852	U2	ENSRNOG00000068267
41182758	LOC120095105		
41182832	Trnap-agg62	NEWGENE_40926764;Trnap-agg	
41182833	Nid2-ps6	LOC120100086	
41182834	LOC120094450		ENSRNOG00000066730
41182840	LOC120099413	U6	ENSRNOG00000058350
41182876	LOC120097481		
41182883	LOC120093916	U6	ENSRNOG00000056530
41182919	LOC120095810	U6	ENSRNOG00000056109
41182922	LOC120096093	U6	ENSRNOG00000058537
41182925	LOC120100730		
41182998	H3f3a-ps4	LOC120098093	
41183015	LOC120101309	AABR07010124.1;Gm22899	ENSRNOG00000057342
41183030	LOC120098226		
41183035	LOC120096510		ENSRNOG00000063375
41183083	Naa11-ps17	LOC120094595	
41183084	LOC120095792	U2	ENSRNOG00000062557
41183091	LOC120097440		ENSRNOG00000065891
41183096	LOC120095041		
41183125	LOC120098836		
41183431	LOC120102029		ENSRNOG00000064468
41183437	Gapdh-ps35	LOC120093855	
41183496	Sub1-ps3	LOC120098797	
41183565	LOC120100803		
41183603	LOC120099417	U6	ENSRNOG00000063746
41183654	LOC120095025		
41183719	LOC120097504		
41183907	LOC120098188		
41183954	LOC120103233	U6	ENSRNOG00000055928
41183995	LOC120093536		
41184000	LOC120097388		
