ID	symbol	synonyms	ensembl
2003	Asip	A;ASP	ENSRNOG00000017701
2004	A2m	A2MAC1;A2m1;A2maa;A2mb;AI893533;LOC100911545;MGC114358;Mam;RATA2MAC1	ENSRNOG00000028896;ENSRNOG00000045772
2006	Aanat	AA-NAT;Nat4	ENSRNOG00000011182;ENSRNOG00055029977;ENSRNOG00060030684;ENSRNOG00065004543
2007	Abcd3	PMP70;PMP70, 70-kDa peroxisomal membrane protein;Pxmp1	ENSRNOG00000011929;ENSRNOG00055026677;ENSRNOG00060002776;ENSRNOG00065023022
2011	Acadl	LCAD	ENSRNOG00000012966;ENSRNOG00055010322;ENSRNOG00060023597;ENSRNOG00065028069
2012	Acadm	MCAD;MCAD, medium chain acyl-CoA dehydrogenase	ENSRNOG00000009845;ENSRNOG00055028387;ENSRNOG00060001604;ENSRNOG00065012684
2013	Acadsb	2-MEBCAD;LOC103691247;SBCAD	ENSRNOG00000020624;ENSRNOG00055030359;ENSRNOG00060032539;ENSRNOG00065012861
2014	Acadvl	MGC93660;VLCAD;VLCAD, very-long-chain acyl-CoA dehydrogenase	ENSRNOG00000018114
2015	Acsl1	ACS;Acas;COAA;Facl2;LACS 1	ENSRNOG00000010633;ENSRNOG00055011492;ENSRNOG00060007558;ENSRNOG00065015240
2016	Acat1		ENSRNOG00000007862;ENSRNOG00055027672;ENSRNOG00060016362;ENSRNOG00065017528
2017	Asic2	ASIC2a/ASIC2b;Accn1;BNC1;BNC1k;BNaC1;MDEG;MDEG1;MDEG2	ENSRNOG00000058308
2018	Acly	ACL;Clatp;MGC124629	ENSRNOG00000016924
2019	Aco1	AH;Acon1;IRE-BP 1;IRP1	ENSRNOG00000005849
2020	Acp1	LMW-PTP-I, low molecular weight phosphotyrosine protein phosphatase isozyme 1	ENSRNOG00000005260;ENSRNOG00055005874;ENSRNOG00060008086;ENSRNOG00065010681
2021	Acp2	LAP;LMW-PTP-II, low molecular weight phosphotyrosine protein phosphatase isozyme 2	ENSRNOG00000013594
2022	Acp5	TR-AP;TTRRAP;Trap	ENSRNOG00000046261
2023	Acp3	5'-NT;Acpp;Acpp11;FRAP;Ppal;RNACPP11;pap	ENSRNOG00000011820;ENSRNOG00055012887;ENSRNOG00060008023;ENSRNOG00065007977
2024	Acr	Acro	ENSRNOG00000029762;ENSRNOG00055012188;ENSRNOG00060022682;ENSRNOG00065017336
2025	Acta1		ENSRNOG00000017786;ENSRNOG00000058039;ENSRNOG00055021900;ENSRNOG00060017592;ENSRNOG00065018197
2026	Actc1	MGC156490	ENSRNOG00000008536;ENSRNOG00000058039;ENSRNOG00055002780;ENSRNOG00060020335;ENSRNOG00065015814
2027	Actg2	MGC105507;SMGA	ENSRNOG00000029401;ENSRNOG00000058039;ENSRNOG00055012722;ENSRNOG00060003018;ENSRNOG00065016044
2028	Acvr2b	ActRIIB, type II activin receptor B	ENSRNOG00000014477
2029	Acvrl1	Alk1;MGC91691;R-3;R3;SKR3;TSR-I	ENSRNOG00000028713;ENSRNOG00055028741;ENSRNOG00060015566;ENSRNOG00065022556
2030	Acy1	ACY IA;ACY IB;ACY-1A;ACY-1B;Acy1a;Acy1b	ENSRNOG00000011189;ENSRNOG00055013030;ENSRNOG00060030246;ENSRNOG00065008472
2031	Ada	MGC108610	ENSRNOG00000010265;ENSRNOG00055003913;ENSRNOG00060001531;ENSRNOG00065025525
2032	Adam10	ADAM 10;LOC501019;MADM;RGD1566370	ENSRNOG00000054257;ENSRNOG00055006672;ENSRNOG00060018682;ENSRNOG00065016421
2033	Adarb1	Adar2;RED1	ENSRNOG00000001227
2034	Adcy4	MGC93493	ENSRNOG00000020401
2035	Adcy6	AC6;ACVI	ENSRNOG00000054757
2036	Adcy8	Ac8	ENSRNOG00000004890
2037	Adcyap1		ENSRNOG00000049882;ENSRNOG00055007690;ENSRNOG00060004749;ENSRNOG00065009286
2038	Adcyap1r1	PAC1-R;PACAP-R-1;PACAP-R-1A;PACAP-R1;PACAP-R1A;PACAPR1;PACAPR1A	ENSRNOG00000012098;ENSRNOG00055011238;ENSRNOG00060023373;ENSRNOG00065012082
2041	Add1	MGC124621;alpha-ADD	ENSRNOG00000013039
2042	Add2	beta-ADD	ENSRNOG00000015903
2043	Add3		ENSRNOG00000012820;ENSRNOG00065011403
2044	Adh1c	Adh;Adh1;Adh1a	ENSRNOG00000012436;ENSRNOG00055010869;ENSRNOG00060024358;ENSRNOG00065026075
2046	Adk	AK	ENSRNOG00000012325
2047	Adm	Ap;H39316	ENSRNOG00000027030;ENSRNOG00055025720;ENSRNOG00060020499;ENSRNOG00065029586
2048	Adora1		ENSRNOG00000003442;ENSRNOG00055022024;ENSRNOG00060017875;ENSRNOG00065019876
2049	Adora2a	A2ar;Adora2l1;MGC93190	ENSRNOG00000001302;ENSRNOG00055021906;ENSRNOG00060028613;ENSRNOG00065026363
2050	Adora2b		ENSRNOG00000002922
2051	Adora3	A3;LOC100911796;TGPCR1	ENSRNOG00000015788;ENSRNOG00000050743
2052	Adprh	MGC95225	ENSRNOG00000027260;ENSRNOG00055016270;ENSRNOG00060007888
2053	Parp1	ADPRT 1;ARTD1;Adprt;MGC93658;Parp-1	ENSRNOG00000003084;ENSRNOG00055012447;ENSRNOG00060006959;ENSRNOG00065024216
2054	Adra1b		ENSRNOG00000060087
2055	Adra1a	Adra1c	ENSRNOG00000009522
2056	Adra2a	CA2-47;RATRG20;RG20	ENSRNOG00000047545;ENSRNOG00055028819;ENSRNOG00060016882;ENSRNOG00065010837
2057	Adra2b		ENSRNOG00000013887;ENSRNOG00055006213;ENSRNOG00060019138;ENSRNOG00065014694
2058	Adra2c		ENSRNOG00000009299;ENSRNOG00055017127;ENSRNOG00060024662;ENSRNOG00065032982
2059	Adrb1	B1AR;RATB1AR	ENSRNOG00000017002
2060	Adrb2		ENSRNOG00000019217
2061	Adrb3	ADRB	ENSRNOG00000012674
2062	Grk2	Adrbk1;BARK1;GRK-2	ENSRNOG00000018985
2063	Grk3	Adrbk2;beta ARK2;beta-ARK-2	ENSRNOG00000059456
2064	Ap1b1	Adtb1	ENSRNOG00000008786
2065	Afp		ENSRNOG00000002889
2067	Agrn	AGR	ENSRNOG00000020205
2068	Agrp		ENSRNOG00000039001
2069	Agt	ANRT;Ang;AngII;MGC105326;PAT	ENSRNOG00000018445
2070	Agtr1a	AT1;AT1A;AT1R;Agtr1	ENSRNOG00000018346;ENSRNOG00055013980;ENSRNOG00060019076;ENSRNOG00065023214
2071	Agtr1b	AT1;AT3;AT<sub>1</sub>R;Agtr1;At1b	ENSRNOG00000010640;ENSRNOG00055004690;ENSRNOG00060021347;ENSRNOG00065019906
2072	Agtr2	AT2;AT2-R;AT2R;AT<sub>2</sub>R	ENSRNOG00000050006;ENSRNOG00055025331;ENSRNOG00060019463;ENSRNOG00065009886
2073	Agxt	AGT;SPT;Spat	ENSRNOG00000023856;ENSRNOG00060008474
2074	Ahr		ENSRNOG00000004342
2075	Ahsg	Aa2-066;BSP;pp63	ENSRNOG00000038370;ENSRNOG00055004922;ENSRNOG00060011231;ENSRNOG00065003582
2076	Ak1	Ak 1;LOC108350550;MGC108678	ENSRNOG00000049056;ENSRNOG00055006133;ENSRNOG00060032927;ENSRNOG00065024512
2077	Ak2	AK 2	ENSRNOG00000000122
2078	Ak4	AK 4;Ak3l1;Ak3l2;MGC93541	ENSRNOG00000045738
2079	Akap11	AKAP 220;AKAP-11;Akap;PRKA11	ENSRNOG00000009987
2081	Akt1	Akt;PKB;PKB alpha;RAC-PK-alpha	ENSRNOG00000028629;ENSRNOG00055028853;ENSRNOG00060026743;ENSRNOG00065028102
2082	Akt2		ENSRNOG00000018677
2083	Alad		ENSRNOG00000015206;ENSRNOG00055018142;ENSRNOG00060010276;ENSRNOG00065016023
2084	Alas2	ALAS-E;LOC100363476	ENSRNOG00000000167
2085	Alb	Alb1	ENSRNOG00000002911
2087	Aldh1a1	ALDH-E1;ALHDII;Ahd2;Aldh1;Aldh2;LOC103695056;RALDH 1;ralDH1	ENSRNOG00000017619
2088	Aldh3a1	AHDC;Ahd-c;Aldh;Aldh3	ENSRNOG00000002331
2089	Aldoa	Aldo1;RNALDOG5	ENSRNOG00000052802;ENSRNOG00065016801
2090	Aldob	Aldo2;LIV10	ENSRNOG00000006807
2091	Aldoc	F16dip7	ENSRNOG00000011452;ENSRNOG00055029644;ENSRNOG00060029953;ENSRNOG00065023213
2092	Akr1b1	ALR-P-I;AR;Akr1b3;Akr1b4;Aldr1;Alr	ENSRNOG00000009513
2096	Alox5	5-LO;LOX5A	ENSRNOG00000012972
2097	Alox5ap	FLAP	ENSRNOG00000000907;ENSRNOG00055003427;ENSRNOG00060002388;ENSRNOG00065006327
2099	Alpi	Alp1;IAP-1;IAP-I;S51097	ENSRNOG00000030020
2100	Alpl	AP-TNAP;Akp2;MGC93545;PHOA;TNAP;TNSALP	ENSRNOG00000013954;ENSRNOG00055024897;ENSRNOG00060029423;ENSRNOG00065024638
2101	Ambn		ENSRNOG00000003718
2102	Ambp	UTI	ENSRNOG00000006889
2104	Amd1	Amd1a;Amd1b;SAMDC	ENSRNOG00000000585
2107	Amelx	Amel;LRAP	ENSRNOG00000003965;ENSRNOG00055022760;ENSRNOG00060020934;ENSRNOG00065023602
2108	Amh	MIS	ENSRNOG00000019377;ENSRNOG00055031425;ENSRNOG00060024653;ENSRNOG00065018204
2109	Ampd1	Ampd;Ampd01;RATAMPD01	ENSRNOG00000018656;ENSRNOG00060030572;ENSRNOG00065031130
2110	Ampd2	Ampd;LOC362015	ENSRNOG00000019240;ENSRNOG00055020780;ENSRNOG00060025840;ENSRNOG00065023600
2111	Ampd3	Ampd	ENSRNOG00000018262
2113	Amy1	Amy1a	ENSRNOG00000033529;ENSRNOG00000064517
2115	Andpro	CRP-1;Crp1	ENSRNOG00000031840;ENSRNOG00055002427;ENSRNOG00055023229;ENSRNOG00060002032;ENSRNOG00060005718
2118	Anxa1	Anx1;p35	ENSRNOG00000017469;ENSRNOG00055010464;ENSRNOG00060023625;ENSRNOG00065026926
2119	Anxa3	Anx3;LC3;LRRGT00047	ENSRNOG00000002045;ENSRNOG00055006289;ENSRNOG00060023933;ENSRNOG00065016755
2120	Anxa5	Anx5;CBP-I;CPB-I;LC5;MGC93655;PAP-I;PP4;VAC-alpha	ENSRNOG00000014453;ENSRNOG00055002668;ENSRNOG00060006995;ENSRNOG00065009265
2122	Apbb1	FE65	ENSRNOG00000018020
2123	Apc		ENSRNOG00000020423
2124	Speg	APEG-1;Apeg1;LOC363256	ENSRNOG00000019850
2125	Apeh	AARE;APH;Apeh14;Apeh17	ENSRNOG00000029572
2126	Apex1	APE;APEN;Apex;REF-1	ENSRNOG00000009663;ENSRNOG00065000540
2128	Aplp2	APLP-2;Apph;CDEBP;LOC100363366;LOC64312;WALPLP2	ENSRNOG00000047179
2129	Apob	Aa1064;Ac1-060;Apo B-100;ApoB-100;ApoB-48	ENSRNOG00000005542
2130	Apoa1	apo-AI;apoA-I	ENSRNOG00000045679;ENSRNOG00055019759;ENSRNOG00060014072;ENSRNOG00065027868
2131	Apoa2	APOAII;Apo-AII;ApoA-II	ENSRNOG00000003500;ENSRNOG00055022062;ENSRNOG00060025852;ENSRNOG00065021869
2132	Apoa4	Acl;Apo-AIV;ApoA-IV;Apoc4;apoAIV	ENSRNOG00000055909;ENSRNOG00055019770;ENSRNOG00060014102;ENSRNOG00065027936
2133	Apobec1	REPR;apobec-1	ENSRNOG00000015411
2134	Apoc1	Apo-CIB;ApoC-IB;LRRG04;NEWGENE_2134;apo-CI;apoC-I	ENSRNOG00000018426
2135	Apoc2	Apo-CII;ApoC-II;LOC292697;RGD1560725	ENSRNOG00000018402;ENSRNOG00055031317;ENSRNOG00060032961;ENSRNOG00065032848
2136	Apoc3	ApoC-III;apo-CIII	ENSRNOG00000047503
2137	Apod	apo-D	ENSRNOG00000048273
2138	Apoe	apo-E	ENSRNOG00000018454
2139	App	ABPP;AG	ENSRNOG00000006997;ENSRNOG00055002269;ENSRNOG00060016739;ENSRNOG00065006297
2141	Aqp1	AQP-1;CHIP28	ENSRNOG00000011648;ENSRNOG00055010900;ENSRNOG00060022640;ENSRNOG00065011980
2142	Aqp2	AQP-2;AQP-CD;MGC156502;WCH-CD	ENSRNOG00000054378
2143	Aqp4	AQP-4;AQP4.M23;MIWC2;Miwc;WCH4	ENSRNOG00000016043
2144	Aqp5	AQP-5;MGC124967	ENSRNOG00000051970
2145	Aqp7	AQP-7	ENSRNOG00000009686
2146	Aqp8	AQP-8;MGC93492	ENSRNOG00000014652
2147	Ar	Andr;Tfm	ENSRNOG00000005639
2148	Araf	Araf1	ENSRNOG00000010838
2149	Areg	AR;SDGF	ENSRNOG00000002754;ENSRNOG00055006387;ENSRNOG00060017437;ENSRNOG00065018693
2150	Arg1	AI, type I arginase	ENSRNOG00000013304
2151	Arg2	AII, type II arginase	ENSRNOG00000053811
2152	Arl4a	Arl4;MGC108709	ENSRNOG00000004282;ENSRNOG00000069300;ENSRNOG00055001346;ENSRNOG00055019623;ENSRNOG00060005750;ENSRNOG00065009652
2153	Arnt	Arnt1	ENSRNOG00000031174
2154	Arnt2		ENSRNOG00000013017;ENSRNOG00000063992;ENSRNOG00055019093;ENSRNOG00060023102;ENSRNOG00065028277
2155	Arpc1b	p41-ARC;p41Arc	ENSRNOG00000000991
2156	Arrb1		ENSRNOG00000030404
2157	Arrb2	MGC105502	ENSRNOG00000019308
2158	Arsb	ASB;G4S	ENSRNOG00000011150;ENSRNOG00055003962;ENSRNOG00060027395;ENSRNOG00065023620
2159	Ascl2	mash2	ENSRNOG00000020434;ENSRNOG00060031630
2160	Asgr1	ASGP-R 1;ASGPR 1;ASGR;HL-1;MGC108731;RATRHL1;RHL-1;RHL1	ENSRNOG00000018693;ENSRNOG00055032882;ENSRNOG00060030352;ENSRNOG00065027557
2161	Asgr2	ASGP-R 2;ASGPR 2;HL-2;MGC108546;RHL-2	ENSRNOG00000030726;ENSRNOG00055032653;ENSRNOG00060030568;ENSRNOG00065027872
2162	Asns	MGC93148	ENSRNOG00000007546;ENSRNOG00055001870;ENSRNOG00060020668;ENSRNOG00065010780
2163	Ass1	ASSA;Ass	ENSRNOG00000008837;ENSRNOG00055007404;ENSRNOG00060032679;ENSRNOG00065022632
2165	Atf3	LOC100911428;LRF-1;LRFI	ENSRNOG00000003745;ENSRNOG00055011244;ENSRNOG00060013725;ENSRNOG00065003991
2167	Atp1a1	Nkaa1b	ENSRNOG00000030019;ENSRNOG00055019753;ENSRNOG00060028283;ENSRNOG00065029722
2168	Atp1a2	RATATPA2	ENSRNOG00000007290;ENSRNOG00055021772;ENSRNOG00060021783;ENSRNOG00065026140
2169	Atp1a3	Atpa1a3	ENSRNOG00000020263
2170	Atp1b1	ATPBS	ENSRNOG00000002934;ENSRNOG00055017745;ENSRNOG00060009545;ENSRNOG00065019205
2171	Atp1b2	ATPB2;ATPB2S;Amog;MGC93648;RATATPB2S	ENSRNOG00000011227
2172	Atp1b3	ATPB-3;NKAB3S	ENSRNOG00000011501;ENSRNOG00000022382;ENSRNOG00055017521;ENSRNOG00060007745;ENSRNOG00065007402
2173	Fxyd2	ATP1C;Atp1g1	ENSRNOG00000016469
2174	Atp2a2	Serca2	ENSRNOG00000001285;ENSRNOG00055015092;ENSRNOG00060002173;ENSRNOG00065006868
2175	Atp2a3	SERCA3	ENSRNOG00000017912
2176	Atp2b2	PMCA2	ENSRNOG00000030269;ENSRNOG00065028357
2177	Atp4a	HKATPC;Hka	ENSRNOG00000020985
2178	Atp4b	S76401S1	ENSRNOG00000018543;ENSRNOG00055014550;ENSRNOG00060018512;ENSRNOG00065009156
2179	Atp7a	Mnk	ENSRNOG00000061367;ENSRNOG00055025893;ENSRNOG00060022911;ENSRNOG00065024886
2180	Atp7b	Hts;PINA;Wd	ENSRNOG00000012878
2181	Atp5if1	Atpi;Atpif1;IF(1);IF1;IF1PA;LOC362620	ENSRNOG00000013300;ENSRNOG00055028848;ENSRNOG00060024975;ENSRNOG00065028345
2184	Avp	ADH;AVP-NPII;DI;VP;Vas	ENSRNOG00000021229;ENSRNOG00055006166;ENSRNOG00060006535;ENSRNOG00060017663;ENSRNOG00065014579
2185	Avpr1a	AVPR;MGC108538;V1a;V1aR	ENSRNOG00000004400;ENSRNOG00055026240;ENSRNOG00060008510;ENSRNOG00065016788
2186	Avpr2	AVPR V2;V2R	ENSRNOG00000059862;ENSRNOG00055024972;ENSRNOG00060006538;ENSRNOG00065014794
2187	Azgp1	MGC124966;ZA2GA;Zna2gp	ENSRNOG00000001333;ENSRNOG00055011286;ENSRNOG00060024999;ENSRNOG00065000046
2189	B2m		ENSRNOG00000017123;ENSRNOG00055002841;ENSRNOG00060015581;ENSRNOG00065027414
2190	Baat	BAT;MGC108728;kan-1	ENSRNOG00000007395;ENSRNOG00055020369;ENSRNOG00060006010;ENSRNOG00065010767
2191	Bace1	ASP2;Bace;asp 2	ENSRNOG00000016847;ENSRNOG00055020254;ENSRNOG00060013805;ENSRNOG00065027571
2192	Bax		ENSRNOG00000020876
2193	Bc1		
2194	Bcan	LOC100910284	ENSRNOG00000018798;ENSRNOG00000058727
2195	Bcat1	Bcatc;MGC105472	ENSRNOG00000015514
2196	Bckdha	BCKDA;E1a	ENSRNOG00000020607
2197	Bckdhb		ENSRNOG00000009928;ENSRNOG00060020994
2198	Bckdk	BDK	ENSRNOG00000019485;ENSRNOG00055029958;ENSRNOG00065015374
2199	Bcl2	Bcl-2;ENSRNOG00000067693	ENSRNOG00000002791;ENSRNOG00000067693
2200	Bcl2l1	Bcl-xl;Bcl2l;Bclx;bcl-X	ENSRNOG00000007946;ENSRNOG00000018503
2201	Bdkrb2	B2BKR;B2BRA;B2R	ENSRNOG00000047300;ENSRNOG00065026514
2202	Bdnf	MGC105254	ENSRNOG00000047466;ENSRNOG00055023387;ENSRNOG00060001681;ENSRNOG00065016064
2203	Bet1	MGC72488;rBET1	ENSRNOG00000011008
2204	Cfb	Bf;Da1-24;MGC94594	ENSRNOG00000000419;ENSRNOG00000051158;ENSRNOG00000051235
2205	Bfsp1	115-kDa;CP94;CP95;CP97;CP97 115-kDa	ENSRNOG00000005707
2206	Bglap	BGPR;BGPRA;Bglap2;Bgp	ENSRNOG00000019607;ENSRNOG00055024058;ENSRNOG00060032201;ENSRNOG00065027655
2207	Bgn	BSPG1;PG-S1	ENSRNOG00000055962
2209	Wdr46	Bing4;MGC94931	ENSRNOG00000031171
2211	Bmp2	BMP-2;BMP-2A	ENSRNOG00000021276;ENSRNOG00000071010
2212	Bmp3	BMP-3;PBMP3	ENSRNOG00000002381;ENSRNOG00065018703
2213	Bmp4	BMP-2B;BMP-4;BOMPR4A	ENSRNOG00000009694
2214	Bmp6	BMP-6;VGR;VGR-1	ENSRNOG00000013717;ENSRNOG00065008388
2218	Brca1	BRCA-1	ENSRNOG00000020701
2219	Brca2		ENSRNOG00000001111
2220	Bsg	5A11;CE9;HT7;Ox47R	ENSRNOG00000008414;ENSRNOG00055031052;ENSRNOG00060027051;ENSRNOG00065020463
2222	Nsg1	Bsmrb;Neep21;PEP1	ENSRNOG00000005700;ENSRNOG00055016246;ENSRNOG00060019873;ENSRNOG00065028848
2223	Bsn	Znf231	ENSRNOG00000030714
2224	Btg1		ENSRNOG00000004284;ENSRNOG00055005912;ENSRNOG00060005050;ENSRNOG00065012107
2225	Btg2	Agl;An;PC3;Tis21;an-1	ENSRNOG00000003300;ENSRNOG00055021880;ENSRNOG00060017613;ENSRNOG00065019487
2226	Btg3	LOC360251;rBTG3	ENSRNOG00000001555
2228	Tspo	Bzrp;MBR;PBR;PKBS;PTBZR02;Ptbzr;RATPTBZR02	ENSRNOG00000010549;ENSRNOG00055029344;ENSRNOG00060025807;ENSRNOG00065029087
2229	C1qb	Adia	ENSRNOG00000012749
2230	C1qbp	Habp1;MGC91723;gC1qR	ENSRNOG00000006949;ENSRNOG00055032503;ENSRNOG00060025453;ENSRNOG00065029716
2231	C2		ENSRNOG00000051235
2232	C3		ENSRNOG00000046834
2235	C4bpa	C4BP;MGC108761	ENSRNOG00000004062
2236	C4bpb	C4bp-ps1;MGC108727	ENSRNOG00000004125;ENSRNOG00055021031;ENSRNOG00060019117
2237	C5	C5a;Hc;RGD1561905	ENSRNOG00000018899
2238	C6		ENSRNOG00000024115
2239	C8b	C8b_mapped	ENSRNOG00000007639
2240	Car2	CA-II;Ca2	ENSRNOG00000009629;ENSRNOG00055025852;ENSRNOG00060024092;ENSRNOG00065013057
2241	Car3	CA-III;Ca3	ENSRNOG00000010079;ENSRNOG00055025940;ENSRNOG00060002049;ENSRNOG00065013129
2242	Car4	CA-IV;Ca4	ENSRNOG00000002916;ENSRNOG00065001634
2243	Car5a	CA-VA;Ca5;Ca5a;MGC108708	ENSRNOG00000019098;ENSRNOG00055019945;ENSRNOG00060018928;ENSRNOG00065006822
2244	Cacna1a	BI;BccA1;Cav2.1;LOC688360;RBA-I;rbA-1	ENSRNOG00000052707
2245	Cacna1c	RATIVS302;RBC	ENSRNOG00000007090
2246	Cacna1e	BII;CACHA1E;Cav2.3;RBE-II;RBE2	ENSRNOG00000002863
2247	Cacna2d1	CCHLA2;Cacna2;DHSCCA	ENSRNOG00000033531
2248	Cacnb3	CAB3;CACH3B	ENSRNOG00000054274;ENSRNOG00055025822;ENSRNOG00060008268;ENSRNOG00065024413
2249	Cacng1	CACNG	ENSRNOG00000003245
2252	Ddr1	Cak;Drd1;PTK3D	ENSRNOG00000057125
2253	S100g	CaBP;Calb3;Cbpi;MGC72928;RNCALBD9	ENSRNOG00000004222
2254	Calca	CAL6;CGRP;CGRP-I;Cal1;Calc;RATCAL6	ENSRNOG00000011130;ENSRNOG00055006697;ENSRNOG00060017084;ENSRNOG00065028679
2255	Calcrl	CLR;Crlr;RATCRLR;RNCLR	ENSRNOG00000054695;ENSRNOG00055021800;ENSRNOG00060010321;ENSRNOG00065021521
2256	Cald1	CDM;l-Cad	ENSRNOG00000010233
2257	Calm1	CaMI;Calm;Cam1;caM	ENSRNOG00000004060;ENSRNOG00000067086;ENSRNOG00055015152;ENSRNOG00055031474;ENSRNOG00060022413;ENSRNOG00065014668;ENSRNOG00065032582
2258	Calm2	CaMII;Cam2;Camb;caM	ENSRNOG00000004060;ENSRNOG00000030871;ENSRNOG00000067086;ENSRNOG00055015152;ENSRNOG00055031474;ENSRNOG00060022413;ENSRNOG00065014668;ENSRNOG00065032582
2259	Calm3	CaMIII;Cam3;Camc;RNCAMIII;caM	ENSRNOG00000004060;ENSRNOG00000016770;ENSRNOG00000067086;ENSRNOG00055015152;ENSRNOG00055031474;ENSRNOG00060022413;ENSRNOG00065014668;ENSRNOG00065032582
2261	Camk2a	PK2CDD;PKCCD	ENSRNOG00000018712
2262	Camk2b	Ck2b	ENSRNOG00000052080
2263	Camk2d	CAMK1;Camk2;MGC124639	ENSRNOG00000011589;ENSRNOG00055025344;ENSRNOG00060002897;ENSRNOG00065014455
2264	Camk4	Ccdpk;RATCCDPK	ENSRNOG00000020478;ENSRNOG00055023745;ENSRNOG00060028383;ENSRNOG00065012456
2265	Calm2-ps1	Calm-ps1;Camps	
2266	Canx		ENSRNOG00000003343
2267	Capn1	CANP 1	ENSRNOG00000020935;ENSRNOG00055021953;ENSRNOG00060032465;ENSRNOG00065033912
2268	Capn2	CANP 2	ENSRNOG00000034015;ENSRNOG00055012648;ENSRNOG00060007713;ENSRNOG00065017813
2269	Capn3	CANP 3;Lp82;Lp84;Lp85;p94	ENSRNOG00000008609
2270	Capns1	CDPS;CSS1;Capn4;LOC100912380	ENSRNOG00000048194;ENSRNOG00000067065;ENSRNOG00055033452;ENSRNOG00060028834;ENSRNOG00065034103
2271	Capza3	Cappa3	ENSRNOG00000008727;ENSRNOG00000067096
2272	Cartpt	Cart	ENSRNOG00000017712
2273	Alx1	CART-1;CART1X;Cart1	ENSRNOG00000004390
2274	Casp1	CASP-1;IL-1BC;Ice;Il1bc;p45	ENSRNOG00000007372
2275	Casp3	CASP-3;CPP-32;CPP32-beta;CPP32beta;IRP;Lice;MGC93645;SCA-1;Yama	ENSRNOG00000010475;ENSRNOG00055011427;ENSRNOG00060007399;ENSRNOG00065015182
2276	Casq2	cardCSQ	ENSRNOG00000016243
2277	Casr	PCaR1;RaKCaR	ENSRNOG00000002265;ENSRNOG00055017089;ENSRNOG00060026973;ENSRNOG00065018590
2278	Cast	MGC108997	ENSRNOG00000010286
2279	Cat	CS1;Cas1;Cat01;Catl;Cs-1;RATCAT01	ENSRNOG00000008364;ENSRNOG00055000198;ENSRNOG00060001791;ENSRNOG00065017370
2280	Cav1	Cav;LOC100362870;MGC187299	ENSRNOG00000056836
2281	Cav3	MGC105449	ENSRNOG00000005798;ENSRNOG00055006838;ENSRNOG00060012913;ENSRNOG00065027134
2282	Runx2	Cbfa1;OSF-2	ENSRNOG00000020193
2283	Runx1	Aml1;B;CBF-alpha-2;Cbfa2;PEA2-alpha;PEA2-alpha B;PEBP2-alpha;PEBP2-alpha B	ENSRNOG00000001704
2286	Cbr1	Cbr;Cbr 1;MGC124927;PG-9-KR	ENSRNOG00000047848;ENSRNOG00000049693;ENSRNOG00000049911
2287	Cbs		ENSRNOG00000029528;ENSRNOG00055008879;ENSRNOG00060020882;ENSRNOG00065025527
2288	Cck		ENSRNOG00000019321;ENSRNOG00055002559;ENSRNOG00060020605;ENSRNOG00065000370
2289	Cckar	CCK1-R;Cck-ar	ENSRNOG00000043124;ENSRNOG00060015710
2290	Cckbr	CCK-BR;CCK2-R;Cck2r	ENSRNOG00000017679;ENSRNOG00055024046;ENSRNOG00060017559;ENSRNOG00065031807
2291	Ccnb1		ENSRNOG00000058539;ENSRNOG00055027308;ENSRNOG00060029363;ENSRNOG00065022767
2293	Ccnd3	MGC108760;MGC93643	ENSRNOG00000050258
2294	Ccne1	Ccne	ENSRNOG00000014786
2295	Ccng1	CYCG;Ccng;MGC93642	ENSRNOG00000003256;ENSRNOG00055003060;ENSRNOG00060003052;ENSRNOG00065001337
2296	Cd1d1	Cd1;Cd1d	ENSRNOG00000016451
2297	Cd2	CD2R;LFA-2;LFA2;OX-34;OX34	ENSRNOG00000015821;ENSRNOG00055019708;ENSRNOG00060012683;ENSRNOG00065032445
2298	Cd24	Cd24a;HSA;MGC93641	ENSRNOG00000000321
2299	Cd28	CD28RNA	ENSRNOG00000010283
2301	Cd36	Fat;GPIIIB;GPIV;LOC499984;MGC108510;MGC91634;PAS IV;PAS-4;RGD1562323	ENSRNOG00000005906;ENSRNOG00000040108;ENSRNOG00065018245
2302	Scarb1	Cd36l1;SR-B1;SR-BI;Srb1	ENSRNOG00000000981
2303	Cd38	ADPRC 1;CD38H	ENSRNOG00000003069;ENSRNOG00055015136;ENSRNOG00060019019;ENSRNOG00065005575
2304	Cd3d		ENSRNOG00000015994
2305	Cd247	Cd3z;TCRzeta	ENSRNOG00000003298
2306	Cd4	W3/25;p55	ENSRNOG00000016294;ENSRNOG00000071219;ENSRNOG00055010716;ENSRNOG00060032587;ENSRNOG00065029565
2307	Cd44	CD44A;ECMR-III;HUTCH-I;MGC124941;PGP-1;PGP-I;RHAMM	ENSRNOG00000006094
2308	Cd47	IAP;Itgp;MGC93490	ENSRNOG00000001964
2309	Cd5	LOC100911215;MGC114334	ENSRNOG00000020872
2310	Cd53	LOC100363255;OX44;Ox-44;RATOX44	ENSRNOG00000017874;ENSRNOG00055019729;ENSRNOG00060029369;ENSRNOG00065022882
2311	Cd59b	Cd59;Cd59a;MAC-IP	ENSRNOG00000042821;ENSRNOG00055023884;ENSRNOG00060001969
2312	Cd6	LOC100911366;MGC108551;OX52	ENSRNOG00000020884
