CAS	CHEBI
146464-95-1	71223
146478-72-0	65915
146478-73-1	65916
146478-74-2	65914
1465-25-4	53452
146510-36-3	134712
1466-50-8	73707
14660-91-4	32446
14660-91-4	35306
14663-23-1	4318
146697-04-3	66220
146724-94-9	50154
14679-73-3	94706
1468-26-4	40850
1468-37-7	82239
14682-46-3	5240
14682-66-7	37969
14682-80-5	37982
14684-01-6	38217
14684-37-8	29026
14686-61-4	80675
14689-84-0	17994
14689-84-0	68819
146900-55-2	132351
14691-52-2	25942
14691-59-9	29192
146939-27-7	10119
14696-98-1	29896
146961-76-4	135829
14698-29-4	138856
146986-50-7	75393
14699-32-2	138166
147-20-6	59788
147-24-0	4636
147-24-0	4637
147-27-3	135548
147-52-4	7447
147-55-7	52427
147-71-7	15672
147-73-9	15673
147-81-9	22599
147-85-3	17203
147-93-3	59124
147-94-4	28680
1470-35-5	135275
1470-94-6	59311
14701-08-7	30503
14701-12-3	29832
14701-13-4	30240
14701-18-9	37132
14701-21-4	49468
14701-22-5	49786
147059-72-1	9763
147059-75-4	77568
14708-82-8	132758
14708-92-0	23345
147084-10-4	71023
14709-02-5	3796
147098-20-2	77249
147127-20-6	63625
14715-37-8	35078
147150-35-4	3760
147170-07-8	59778
14720-21-9	30077
14721-66-5	16285
14721-68-7	37258
147214-63-9	29566
147217-75-2	138001
147221-93-0	4379
14727-56-1	4345
14729-29-4	8891
147317-35-9	70049
147318-81-8	80006
147362-40-1	132381
147362-43-4	132337
14737-89-4	86549
147394-94-3	52042
1474-15-3	79769
1474-53-9	79728
147403-03-0	68850
147411-69-6	81780
147444-03-9	64695
14748-94-8	135317
147492-59-9	39042
147492-82-8	52122
147511-69-1	32020
147511-69-1	71260
147526-32-7	32020
147526-32-7	71258
147536-97-8	51450
14755-02-3	32357
14759-06-9	135644
1476-39-7	64701
1476-46-6	18065
1476-53-5	31924
1476-78-4	87605
14760-49-7	78595
14761-58-1	69234
14761-59-2	69233
14762-49-3	30194
14762-51-7	46715
14762-55-1	30218
14762-74-4	36928
14762-75-5	36927
14762-94-8	30239
14763-64-5	38688
147657-22-5	90861
147664-18-4	65466
147666-82-8	68139
14769-73-4	6432
14769-74-5	77282
1477-19-6	34559
1477-40-3	6441
1477-57-2	90441
147700-11-6	53115
14772-95-3	88109
14777-25-4	31978
1478-61-1	72754
14780-24-6	48286
14781-81-8	29209
14782-23-1	49996
14782-33-3	33005
14787-38-3	8773
14791-69-6	49992
14791-73-2	52239
14797-55-8	17632
14797-65-0	16301
14797-71-8	33815
14797-73-0	49706
14798-03-9	28938
14798-33-5	30301
147983-50-4	135917
148-03-8	47771
148-18-5	82587
148-24-3	48981
148-25-4	1751
148-32-3	2685
148-53-8	78339
148-56-1	135404
148-61-8	33214
148-65-2	135246
148-79-8	45979
148-82-3	28876
148-83-4	69833
148016-81-3	135928
14806-50-9	52805
14807-96-6	32178
148077-18-3	62919
148077-19-4	83154
14808-04-9	30144
14808-60-7	46727
14808-79-8	16189
14816-18-3	38812
14816-20-7	82108
14817-09-5	135434
1482-50-4	732
1482-70-8	34463
148258-46-2	64137
14826-48-3	58115
148262-19-5	134547
1483-07-4	6173
14835-02-0	33493
14835-43-9	15579
14836-73-8	5044
14838-15-4	8104
148396-36-5	73266
1484-91-9	3532
148408-66-6	59809
14844-07-6	42160
14847-23-5	37612
148471-85-6	61277
148471-94-7	15520
148473-36-3	39488
148477-71-8	38639
148498-78-6	80339
148504-34-1	3303
148504-92-1	83240
14855-76-6	88288
148553-50-8	64356
14857-77-3	132223
14858-07-2	70336
14859-67-7	33492
14859-67-7	49997
1486-70-0	16860
14860-49-2	94381
148608-52-0	73271
14863-27-5	72998
14866-68-3	49709
148672-13-3	64114
14868-03-2	34030
1487-15-6	51677
148717-77-5	10116
148717-90-2	80765
14874-70-5	38899
14875-96-8	17627
14875-96-8	26355
14882-18-9	261649
14882-94-1	8920
14883-82-0	90346
148849-67-6	85969
148942-81-8	90978
14896-39-0	52694
14897-06-4	16900
14898-79-4	35686
14899-36-6	31471
149-16-6	94820
149-17-7	135117
149-26-8	82196
149-29-1	74926
149-30-4	34292
149-32-6	17113
149-32-6	48299
149-45-1	9607
149-61-1	15595
149-63-3	16452
149-64-4	32123
149-87-1	16010
149-91-7	30778
1490-04-6	25187
149003-01-0	50224
14901-08-7	17074
149017-66-3	34941
149022-18-4	75126
14903-34-5	30399
14903-36-7	30150
14907-98-3	3197
149091-92-9	34524
149091-93-0	34525
149092-50-2	75405
1491-41-4	51962
1491-59-4	7862
14912-30-2	3194
14912-31-3	4988
14912-44-8	10341
149127-27-5	9543
14913-33-8	35852
14913-33-8	51214
14914-35-3	36937
14919-77-8	31262
1492-02-0	31657
1492-18-8	31340
1492-23-5	16160
1492-24-6	35619
1492-27-9	68830
1492-30-4	85645
14925-93-0	86365
149253-65-6	82018
149289-30-5	83525
14929-11-4	32131
1493-13-6	48511
14930-96-2	23527
149301-79-1	2341
14932-42-4	135959
14933-08-5	75303
14933-09-6	10129
14937-32-7	18082
14938-35-3	34441
149394-66-1	59495
14940-63-7	33806
14940-65-9	29374
14941-08-3	66773
149438-61-9	132653
14947-11-6	15431
14948-96-0	38406
14950-87-9	49491
149503-79-7	60634
149508-90-7	81819
149560-83-8	132652
149572-31-6	3861
14959-83-2	81262
149606-27-9	32135
14962-28-8	34235
149633-99-8	31738
149647-78-9	45716
149649-22-9	64191
14967-78-3	29121
14970-71-9	29208
149709-62-6	134714
149718-37-6	66260
149732-62-7	52080
149759-96-6	83620
14976-57-9	3739
14977-61-8	33038
149791-45-7	32205
14982-50-4	33830
14982-50-4	47954
14982-50-4	47962
14982-53-7	35516
149838-22-2	52077
149838-23-3	31517
14984-34-0	32144
14984-68-0	31420
149845-06-7	32121
14985-26-3	79770
149877-41-8	38660
149882-71-3	2964
14989-30-1	29314
1499-10-1	51676
149908-53-2	34545
14992-59-7	31479
149950-60-7	44143
149961-52-4	83218
149979-41-9	81816
14998-27-7	17441
14999-04-3	37970
150-05-0	40751
150-13-0	30753
150-19-6	52678
150-25-4	40957
150-30-1	28044
150-43-6	42191
150-46-9	38916
150-59-4	518413
150-60-7	72752
150-68-5	38214
150-69-6	82462
150-75-4	55416
150-76-5	69441
150-83-4	113373
150-84-5	70478
150-86-7	17327
150-90-3	63675
150-97-0	17710
150036-88-7	66355
1501-27-5	86396
1501-84-4	8865
150114-71-9	62962
150133-00-9	132654
150134-21-7	8643
150152-63-9	51935
1502-46-1	38050
1502-47-2	38055
15020-57-2	38678
150304-08-8	34417
150304-10-2	34413
150314-34-4	34488
150314-35-5	34478
150322-43-3	87715
15035-72-0	29919
150378-17-9	44032
150396-01-3	133834
150399-21-6	59164
150399-23-8	63722
1504-06-9	17397
150408-73-4	32039
15043-17-1	64287
15044-42-5	17742
15044-43-6	17742
15053-09-5	55325
150547-38-9	32207
15056-34-5	35468
15056-35-6	49826
1506-12-3	135008
15060-26-1	34960
15064-65-0	37804
15064-66-1	37805
150683-30-0	32246
15078-28-1	7596
1508-45-8	135764
1508-65-2	7857
1508-75-4	9757
1508-76-5	8449
150812-12-7	68584
150824-47-8	39170
15085-71-9	6929
15085-74-2	133760
15086-94-9	39078
1509-34-8	43433
1509-35-9	20899
1509-85-9	30245
1509-92-8	85210
150915-40-5	9606
150915-41-6	94777
15092-72-5	37978
150943-96-7	78259
150956-90-4	136417
15096-52-3	39289
15096-52-3	39290
15098-01-8	51289
150999-05-6	80023
151-00-8	17502
151-00-8	61143
151-10-0	89853
151-18-8	27413
151-21-3	8984
151-33-7	17120
151-41-7	45599
151-50-8	33191
151-51-9	87623
151-56-4	30969
151-67-7	5615
151-73-5	3078
151-73-5	68603
151-83-7	102216
1510-21-0	138742
151070-83-6	81390
151096-09-2	63611
15112-49-9	9455
151122-71-3	60361
151126-32-8	135922
15117-53-0	37983
15120-21-5	30178
15121-26-3	33004
15121-53-6	5985
15121-94-5	8413
151287-22-8	32235
15130-85-5	27495
151319-34-5	10102
15132-04-4	16223
15132-06-6	18394
15141-18-1	59605
15148-80-8	31323
151484-64-9	4813
151484-76-3	5350
151555-47-4	90223
15158-11-9	29036
15158-12-0	30180
151625-35-3	781
15165-67-0	75373
15165-69-2	75374
151655-69-5	4327
15167-84-7	2621
1517-69-7	45616
151731-50-9	860
15176-26-8	37255
15176-29-1	135051
151767-02-1	6993
15178-66-2	62487
1518-16-7	52445
1518-61-2	86371
1518-62-3	86348
15180-00-4	135723
15181-43-8	42699
15181-46-1	17137
15185-43-0	52814
151867-81-1	42082
15189-51-2	51565
151910-72-4	137345
151922-16-6	29569
15194-58-8	29438
152-02-3	6431
152-11-4	53188
152-16-9	82148
152-43-2	8716
152-47-6	32162
152-53-4	79772
152-58-9	28324
152-62-5	31527
152-72-7	53766
152-75-0	86277
152-93-2	9976
152-97-6	135581
152044-53-6	31549
152044-54-7	31550
15206-55-0	84256
152068-09-2	51225
152075-98-4	90127
152121-30-7	79090
152121-47-6	90705
15215-12-0	53646
15218-38-9	28945
15219-97-3	72341
15222-53-4	67821
15228-71-4	6429
15228-74-7	4989
152306-59-7	63860
15231-91-1	34466
152369-48-7	65989
1524-86-3	34509
1524-87-4	79771
1524-88-5	5127
152406-36-5	80022
15245-12-2	91238
152459-95-5	45783
15248-39-2	2971
152509-92-7	65455
15252-93-4	9121
152520-56-4	132912
152575-66-1	51544
15262-20-1	80505
15262-86-9	35001
15263-53-3	3436
152645-84-6	65526
152645-85-7	65527
152657-84-6	136019
15270-30-1	36489
15275-07-7	30729
152751-57-0	32127
15280-09-8	30058
15283-45-1	53622
152833-54-0	29639
15287-32-8	894
15291-75-5	5355
15291-76-6	5357
15291-77-7	5356
15291-78-8	80750
152918-18-8	73286
152969-11-4	34418
152982-97-3	2870
152985-39-2	8223
152986-47-5	66629
152986-49-7	66630
15299-99-7	82025
153-00-4	135283
153-18-4	28527
153-61-7	124991
153-76-4	94609
153-76-4	503442
153-87-7	31952
153-94-6	16296
153-97-9	55354
15301-40-3	135031
15301-48-1	135794
15301-69-6	5088
15301-80-1	135614
15301-93-6	135046
15302-16-6	134865
15302-88-2	271685
15302-91-7	90548
15307-79-6	4509
15307-81-0	4508
15307-86-5	47381
15310-01-7	82052
15313-69-6	28540
15318-45-3	32215
153197-14-9	81839
153212-75-0	63859
153233-91-1	39329
15324-64-8	9347
15324-65-9	17864
153259-65-5	41479
15336-18-2	60128
15339-50-1	31606
1534-08-3	51280
1534-35-6	81253
153436-54-5	91076
153439-40-8	5051
153444-59-8	613
153505-86-3	34210
15351-05-0	135429
15351-09-4	134812
15351-13-0	135846
153559-49-0	50859
15356-60-2	76306
15358-38-0	70651
15358-48-2	18328
153587-01-0	34879
15365-81-8	30647
153719-23-4	39185
153719-23-4	39186
15372-34-6	79951
15372-37-9	34865
153773-82-1	60070
1538-09-6	51352
153804-05-8	32041
153832-46-3	404903
15384-37-9	16392
15386-73-9	58053
15387-18-5	31610
15389-34-1	37342
15399-05-0	87513
154-02-9	89825
154-08-5	77837
154-17-6	15866
154-21-2	6472
154-23-4	15600
154-41-6	36
154-41-6	31996
154-42-7	9555
154-58-5	16070
154-82-5	134727
154-85-8	132101
154-87-0	9532
154-87-0	18290
154-93-8	3423
154-97-2	50240
1540-85-8	4370
15400-53-0	39721
15401-60-2	5952
15402-27-4	5313
154025-04-4	7266
154037-70-4	133297
154082-13-0	59529
154082-13-0	68631
154086-90-5	136996
15416-91-8	90236
15421-51-9	18297
15421-51-9	64838
15421-84-8	32254
15422-74-9	37348
154229-18-2	68639
154229-19-3	68642
15423-57-1	5337
15423-89-9	31470
154323-57-6	520985
15434-00-1	69556
154361-50-9	31348
15438-31-0	29033
1544-46-3	14272
15442-64-5	28783
15444-20-9	70650
154447-36-6	65329
154466-37-2	66669
15448-47-2	28985
15450-76-7	17715
15454-31-6	29226
15457-05-3	5116
154584-30-2	38236
154584-31-3	38238
15459-85-5	71550
154598-52-4	119486
15461-38-8	55321
154612-58-5	80008
154619-51-9	43927
15468-10-7	134844
15469-77-9	61200
154702-76-8	66711
154719-40-1	52695
154757-99-0	52220
15483-27-9	73811
15489-90-4	36161
154928-56-0	31035
155-09-9	9652
155-41-9	6845
155-41-9	61276
155-54-4	30865
155-57-7	16358
155-58-8	8824
155-84-0	40521
155-97-5	8665
15500-66-0	7907
15500-66-0	7908
15502-74-6	29866
155023-55-5	8234
15503-86-3	5977
15503-87-4	9912
155030-63-0	78739
15510-55-1	82638
155141-29-0	8892
155144-63-1	9454
1552-67-6	87514
155206-00-1	51230
155213-67-5	45409
155233-30-0	3961
155270-99-8	134726
1553-55-5	15467
1553-56-6	17639
1553-60-2	76158
155306-71-1	51896
15532-75-9	83536
15536-54-6	15226
15537-55-0	16377
15537-71-0	61198
15541-45-4	29223
15545-48-9	81981
15548-39-7	59584
15548-43-3	25164
15548-60-4	75424
15548-61-5	90257
155510-77-3	66671
155510-78-4	66672
155518-34-6	8851
155547-95-8	80056
155569-91-8	39233
15565-46-5	138937
15569-50-3	4790
15569-97-8	82573
15572-30-2	90137
15572-79-9	42905
15572-79-9	37619
15573-67-8	28719
15574-96-6	50212
155740-03-7	66537
15575-14-1	16591
15578-68-4	36930
15579-17-6	15987
155798-07-5	68855
1558-67-4	36657
15580-20-8	59053
15581-40-5	29334
155835-54-4	63670
15584-04-0	29125
15585-70-3	135175
15585-86-1	134934
155914-81-1	66838
15592-36-6	5400
15594-90-8	78410
155944-12-0	65840
155974-00-8	85966
155976-51-5	33023
15599-26-5	135979
15599-36-7	135524
15599-39-0	134756
156-06-9	30851
156-08-1	3044
156-10-5	82509
156-34-3	42724
156-38-7	18101
156-39-8	15999
156-43-4	85505
156-51-4	8061
156-54-7	64103
156-56-9	6248
156-59-2	28805
156-60-5	29027
156-62-7	64301
156-74-1	41934
156-80-9	15792
156-86-5	27747
1560-96-9	84277
156052-68-5	82048
156053-89-3	135686
156126-12-4	46026
156137-99-4	135845
1562-85-2	90106
1562-90-9	88183
15621-60-0	15479
15622-65-8	6966
15625-89-5	35028
1563-02-6	88296
1563-38-8	38474
1563-66-2	34611
15630-64-5	5019
156312-20-8	51222
15641-58-4	39355
156436-89-4	50162
15644-49-2	30258
15646-46-5	53076
15648-86-9	75817
1565-80-6	48945
1565-80-6	50625
1565-94-2	34580
15651-72-6	30730
15656-19-6	29876
156605-21-9	34285
156605-23-1	20414
156605-24-2	19623
15662-33-6	8925
15663-27-1	27899
156639-77-9	132399
15664-29-6	38257
15664-55-8	28663
156640-23-2	66268
156719-41-4	90712
156757-20-9	23269
15676-16-1	32168
15678-91-8	136002
15679-13-7	133679
156856-03-0	77845
15686-51-8	3738
15686-71-2	3534
15686-83-6	8654
15686-91-6	135140
15687-08-8	135109
15687-09-9	135839
15687-13-5	135977
15687-16-8	135698
15687-18-0	134940
15687-21-5	135987
15687-22-6	135146
15687-27-1	5855
15687-37-3	134890
15687-41-9	135343
1569-60-4	15833
156963-66-5	81812
15699-18-0	86151
157-03-9	138889
157-06-2	15816
157-07-3	90000
157-16-4	30971
157-18-6	30973
157-22-2	51620
157-23-3	51622
157-39-1	36549
1570-64-5	1800
15706-52-2	37345
15706-73-7	88964
15708-41-5	78292
1571-72-8	29476
157168-02-0	53110
157199-56-9	52237
157199-59-2	52296
157199-62-7	51607
157199-63-8	52297
1572-55-0	53653
1572-99-2	51925
15720-01-1	76110
15720-45-3	37367
15721-02-5	82540
157212-55-0	31300
15722-48-2	7770
157240-67-0	63141
157283-68-6	746859
157284-96-3	139557
157296-99-6	28447
157296-99-6	44395
15731-72-3	580387
15732-48-6	5534
15735-67-8	37344
15735-83-8	37341
157376-71-1	67291
15749-66-3	37973
1575-72-0	80634
1575-74-2	89267
15753-06-7	37984
15756-57-7	37343
15756-58-8	37346
157568-17-7	84585
15759-21-4	37985
157598-00-0	68136
157598-01-1	68135
1576-85-8	87515
1576-96-1	89943
157604-98-3	131494
15763-06-1	16020
15764-04-2	10339
15764-81-5	4372
1577-18-0	49285
1577-20-4	38356
157716-52-4	67272
157798-12-4	64149
157810-81-6	5899
15790-94-0	39450
15793-40-5	135168
15794-92-0	7102
15797-36-1	16089
157998-96-4	65461
158021-47-7	466659
15805-73-9	27292
15806-48-1	16298
158062-67-0	39291
15807-96-2	30561
158076-62-1	34195
158076-64-3	34194
158076-68-7	34415
158081-97-1	65410
158081-98-2	65411
158112-50-6	16786
15818-46-9	75850
1582-09-8	35027
1582-62-3	79773
158237-07-1	81791
15825-70-4	135734
15826-37-6	128458
15834-33-0	74944
15835-74-2	2382
158353-15-2	81866
158364-86-4	512
158382-37-7	135883
158440-71-2	135002
15845-66-6	40926
1585-68-8	80804
15852-22-9	30477
158629-70-0	132375
15867-02-4	80613
15869-93-9	84237
15871-57-5	33228
15872-42-1	34405
15873-27-5	66946
158747-02-5	134991
15875-18-0	30181
15876-67-2	31512
15879-93-3	81902
158836-71-6	77428
158861-67-7	135890
158876-82-5	135673
15892-28-1	15945
15893-52-4	18048
1589477-29-1	90958
15896-49-8	63592
158966-92-8	50730
1590-87-0	30597
1591-99-7	63899
159119-07-0	66040
15912-80-8	9501
1592-38-7	27615
1592-70-7	1579
15920-93-1	28190
15920-93-1	73169
15922-78-8	36584
15926-18-8	70979
1593-77-7	81960
15930-75-3	30507
15932-80-6	26381
15935-54-3	133199
159351-69-6	68478
1594-56-5	53051
15941-77-2	29425
15942-63-9	33110
159518-97-5	131998
159519-65-0	608828
15958-92-6	133068
15959-61-2	35009
1596-67-4	30662
1596-70-9	51178
1596-84-5	4312
1596-88-9	68437
159694-16-3	1113
1597-82-6	31963
15972-60-8	2533
159776-70-2	43966
15978-08-2	18105
15978-08-2	37515
15979-35-8	90186
15985-39-4	28490
1599-67-3	84220
159912-53-5	134846
159989-64-7	7496
159989-65-8	7497
159997-94-1	135847
1600-27-7	33211
16009-13-5	50385
160098-92-0	66000
160098-93-1	66001
1602-41-1	72487
160219-64-7	65618
1603-03-8	70850
1603-79-8	84260
16032-02-3	27435
16034-77-8	91662
16037-15-3	90600
16037-91-5	28148
160383-80-2	34878
16039-53-5	81053
1604-01-9	10561
1604-28-0	89984
160430-64-8	39163
16045-92-4	90244
16049-28-8	2764
1605-68-1	36064
1605-72-7	51370
1605-89-6	34583
16050-72-9	33469
16051-77-7	6062
16051-95-9	10565
16052-06-5	42298
16053-39-7	71032
16053-68-2	36160
16055-12-2	27940
16056-34-1	30785
160568-14-9	66501
16057-15-1	45163
16060-65-4	125204
16060-78-9	4365
16065-83-1	49544
16065-87-5	49446
16065-90-0	37264
16065-91-1	49496
160669-70-5	67288
1607-17-6	135114
160788-56-7	63318
1608-42-0	64432
1608-78-2	37259
16086-14-9	34213
16088-62-3	28982
16089-60-4	32995
1609-47-8	59051
1609-66-1	62685
1609-93-4	27397
16096-89-2	49701
16096-97-2	42106
160970-54-7	135929
1610-17-9	82220
1610-18-0	34934
161016-55-3	52238
16105-69-4	46966
161050-58-4	38449
16106-59-5	87517
16106-95-9	42680
1611-31-0	16785
16110-10-4	32636
16110-51-3	59773
16118-49-3	3394
1613-31-6	38005
1613225-53-8	84192
161326-34-7	83258
16136-29-1	32456
1614-20-6	134945
161407-86-9	80786
1615-80-1	82317
1615-91-4	4648
1615-94-7	81371
1615-99-2	5016
161503-23-7	65467
161578-47-8	15564
161582-11-2	101064
161596-64-1	78577
161596-64-1	82584
161599-46-8	83538
1616-99-5	27429
1617-32-9	38370
1617-53-4	2631
1617-55-6	68330
1617-68-1	69744
1617-70-5	67823
1617-72-7	79776
1617-90-9	9985
161715-24-8	135799
161748-46-5	10361
16175-92-1	135496
161814-49-9	40050
161832-65-1	34992
16188-61-7	135308
16189-35-8	36822
1619-29-0	5648
1619-34-7	115239
161973-10-0	50309
161982-62-3	135908
162011-90-7	8887
16202-17-8	18363
162054-19-5	8983
1621-84-7	6006
1622-61-3	3756
1622-62-4	31622
16220-07-8	74074
1623-14-9	42383
16234-96-1	31181
162359-55-9	63115
162359-56-0	63112
16238-56-5	20787
162401-32-3	47657
16241-25-1	32033
16250-61-6	70339
16251-46-0	81372
162635-04-3	79699
16265-04-6	52721
16265-56-8	2183
162650-77-3	82856
162652-95-1	90241
16273-19-1	59109
162794-82-3	18891
162794-83-4	19602
162794-84-5	23268
162808-62-0	474180
16284-60-9	70984
1629-58-9	89945
16298-90-1	6089
16305-75-2	73808
1631-58-9	7521
1631-73-8	63948
163133-43-5	76254
163163-23-3	34637
1632-73-1	15405
16320-04-0	89642
163222-33-1	49040
163239-22-3	131851
163252-36-6	135964
16330-92-0	30703
1634-04-4	27642
1634-78-2	6649
1634-82-8	64341
163405-36-5	31124
163451-81-8	68540
163464-48-0	62903
163464-51-5	62905
163464-56-0	62893
163515-13-7	83639
163515-14-8	83640
163520-33-0	132497
163521-08-2	70705
163521-12-8	70707
16354-58-8	45441
163594-75-0	30037
1637-39-4	16522
1637-71-4	27891
1637-75-8	70824
163706-06-7	90841
163706-36-3	90836
16375-64-7	35451
16376-74-2	135303
16377-00-7	6253
16378-21-5	135287
16378-22-6	32018
163795-75-3	51461
1638-22-8	34437
16386-65-5	85786
1639-60-7	8498
16397-28-7	134837
16397-91-4	29035
16398-39-3	135448
16409-43-1	90075
16409-92-0	17063
1641-17-4	134985
1641-74-3	31901
1642-54-2	4528
16423-19-1	46703
16423-68-0	61000
16427-80-8	33467
1643-19-2	51993
1643-20-5	131762
16438-56-5	33269
16448-54-7	132238
16452-51-0	75972
1646-75-9	60330
1646-88-4	82051
16462-65-0	8272
164650-44-6	82718
164656-23-9	521033
16484-77-8	75703
1649-18-9	88301
16498-21-8	135808
16505-84-3	59719
16506-27-7	135515
16506-82-4	37925
165070-68-8	31965
16509-46-9	78334
165252-70-0	39183
16526-56-0	19688
1653-30-1	77930
16531-04-7	2535
16533-77-0	70772
16534-24-0	68616
16534-24-0	133605
16541-35-8	37137
16543-55-8	80502
16545-11-2	135854
16545-23-6	35047
165450-17-9	83503
1655-55-6	53086
1655-64-7	53084
1656-83-3	75546
16561-17-4	47869
16561-29-8	37537
16564-43-5	87818
165676-60-8	58349
16568-02-8	5583
16568-56-2	25208
165800-03-3	63607
16584-45-5	4950
16590-41-3	7465
16595-80-5	6433
16600-92-3	32973
1661-03-6	51229
1661-29-6	135138
16610-75-6	85033
16611-84-0	2696
166196-17-4	52299
1662-01-7	77995
1662-06-2	36723
16623-56-6	9512
16625-20-0	5619
1663-45-2	30669
16635-54-4	18554
16637-16-4	43515
16639-00-2	74096
1664-54-6	68528
16642-79-8	90321
16644-15-8	82593
1665-48-1	6797
16655-25-7	52859
16655-75-7	32844
16656-02-3	77854
16662-47-8	34772
16666-42-5	38367
166663-25-8	55346
16672-87-0	52741
166734-81-2	83831
166734-82-3	83830
16676-29-2	134687
16679-58-6	4450
1668-08-2	17464
1668-19-5	4710
1668-54-8	83511
16680-47-0	32143
16682-12-5	4221
166821-89-2	52111
16683-27-5	3863
16688-19-0	2738
16688-20-3	2734
166892-31-5	79746
1669-44-9	89712
16690-92-9	91250
16698-35-4	47771
1670-81-1	131778
167095-09-2	52156
16711-66-3	84323
167173-85-5	66339
16719-36-1	84607
16719-46-3	74555
1672-46-4	42098
1672-58-8	83526
1672-76-0	3648
1672-88-4	131714
16722-51-3	27023
167221-71-8	135738
16727-30-3	75030
167278-42-4	961
167278-44-6	2209
16729-74-1	37363
16729-76-3	37365
1673-06-9	135382
167305-00-2	135660
1674-08-4	83263
1674-44-8	18073
16746-85-3	87523
1675-02-1	42355
1675-02-1	64273
1675-54-3	34578
16751-02-3	16172
16752-60-6	37376
16752-77-5	6835
1676-89-7	21887
16763-81-8	62459
16773-42-5	75176
16777-42-7	31950
1678-45-1	75453
167869-21-8	77954
167882-66-8	132378
16789-38-1	89922
1679-53-4	17409
1679-75-0	135378
1679-76-1	93825
16790-49-1	135020
167933-07-5	90865
168009-84-5	66276
168009-85-6	66277
168021-77-0	135431
168029-69-4	507
16804-57-2	48031
16808-85-8	35424
1681-96-5	48309
1681056-61-0	139128
16812-97-8	3287
16816-67-4	31959
168273-06-1	34967
16828-11-8	74780
16829-43-9	46681
16830-15-2	79928
168316-95-8	39211
16833-54-8	86136
16837-52-8	2672
16838-85-0	66500
16838-87-2	10103
1684-29-3	17011
16844-71-6	80941
16846-09-6	49286
16846-24-5	31739
16846-34-7	34812
16851-21-1	70331
16853-85-3	30142
16858-02-9	88217
1686-14-2	29060
1686-56-2	8210
1686-56-2	63708
1686-61-9	8210
168626-94-6	31430
168626-94-6	681850
16867-04-2	131454
16870-37-4	31207
16872-09-6	38283
16872-11-0	38902
16873-17-9	29303
16874-75-2	73924
16874-97-8	50993
168753-26-2	31966
168753-27-3	31121
1688-85-3	74064
16887-00-6	17996
16887-60-8	19984
16887-70-0	59128
16887-75-5	28303
16887-77-7	59122
1689-64-1	16904
1689-71-0	50004
1689-82-3	82475
1689-83-4	81821
1689-84-5	17192
16892-05-0	30124
168986-61-6	64081
16899-18-6	64773
16910-32-0	17791
16914-68-4	33153
16915-28-9	49988
16919-58-7	59604
16923-58-3	59606
169332-60-9	59385
1694-09-3	82293
1694-20-8	377106
16940-66-2	50985
16940-92-4	60132
16941-32-5	5391
169454-13-1	51878
169454-17-5	51882
169494-85-3	81571
1695-77-8	9215
16955-52-5	5519
16958-29-5	136467
16958-30-8	136490
16958-31-9	136491
16958-85-3	84059
169590-41-4	73032
169590-42-5	41423
16960-16-0	3901
169626-35-1	64550
16964-56-0	6004
16967-79-6	28888
16968-98-2	89481
16971-29-2	30157
1698-60-8	81838
16980-85-1	78465
16980-89-5	31313
16983-23-6	9956
16984-48-8	17051
16986-24-6	38284
17001-28-4	84875
170015-32-4	38614
17004-51-2	76244
17008-59-2	5518
17010-68-3	135501
170105-16-5	134720
17013-01-3	115156
17014-74-3	15934
17019-01-1	9485
1702-17-6	62961
17020-22-3	82827
17021-26-0	135356
17029-22-0	82182
17029-36-6	16823
1703-52-2	88617
17034-35-4	34972
17035-90-4	28229
17039-17-7	11563
1704-28-5	83297
17040-19-6	82118
17041-36-0	90837
170449-18-0	75404
17046-56-9	15514
17046-59-2	53460
1705-85-7	82488
170516-41-3	52121
170557-25-2	132349
170569-88-7	76207
1706-01-0	82491
17066-67-0	10443
17066-67-0	49276
17066-70-5	3854
17068-78-9	46682
1707-03-5	37832
1707-14-8	8068
17070-44-9	132980
17070-45-0	132982
170713-75-4	80266
170729-80-3	499361
17074-00-9	28653
17074-02-1	73992
1708-27-6	51679
170809-51-5	76649
17082-12-1	58996
17084-08-1	37189
17086-28-1	60648
17086-76-9	29012
17088-50-5	80789
17090-79-8	27617
17093-74-2	45826
17094-01-8	16095
17095-24-8	53731
17095-63-5	6320
171009-07-7	41656
17105-15-6	88494
17109-49-8	34735
171094-50-1	32307
171099-57-3	82699
17114-40-8	89406
171179-06-9	92843
17119-15-2	86553
171228-49-2	64355
17126-90-8	72700
1713-85-5	77855
171335-80-1	135709
17149-95-0	3862
1715-33-9	32044
1715-40-8	82097
1715-86-2	27910
171500-79-1	82721
17157-48-1	34263
171596-29-5	71940
171599-83-0	58987
1716-06-9	15534
1716-12-7	75316
17173-14-7	78949
17180-88-0	52431
17181-37-2	29241
17181-54-3	17270
171828-62-9	31442
17184-21-3	5634
17187-73-4	27901
1719-71-7	75193
171927-40-5	77556
17194-00-2	32592
17199-29-0	17756
17199-29-0	32800
1720-32-7	51594
1720-38-3	37823
17208-65-0	29026
1721-51-3	33270
1721-59-1	36484
17210-42-3	11563
17210-42-3	28542
172104-03-9	8648
172152-36-2	135544
1722-62-9	6760
17226-41-4	7894
17226-75-4	6134
1723-00-8	41582
17230-88-5	4315
17238-05-0	75842
1724-02-3	15670
1724-02-3	24309
17241-59-7	28649
17243-38-8	51758
17243-39-9	135017
17243-57-1	134883
17243-64-0	135262
