CAS	CHEBI
10191-41-0	22470
101910-72-9	65528
101915-75-7	2878
10193-36-9	26675
101932-71-2	41791
101961-60-8	133621
101973-77-7	31559
101975-10-4	46548
10198-23-9	32327
10199-89-0	78878
102-02-3	75377
102-07-8	41320
102-08-9	138412
102-09-0	34722
102-29-4	29672
102-32-9	41941
102-37-4	132714
102-45-4	134766
102-50-1	82430
102-54-5	30672
102-61-4	36011
102-61-4	17323
102-69-2	38880
102-71-6	28621
102-76-1	9661
102-82-9	38905
102-87-4	134485
102-94-3	35699
102029-88-9	15784
102036-28-2	69202
102040-03-9	9771
102056-84-8	65777
10206-21-0	135437
10208-80-7	64797
102116-97-2	69235
10212-25-6	74843
102121-60-8	64210
10213-10-2	63939
102130-93-8	11986
102146-07-6	73282
10215-74-4	62112
10215-89-1	4930
102185-28-4	61718
10219-69-9	137495
1021913-49-4	87449
1022-22-6	27454
1022-31-7	18377
1022-31-7	30249
102203-18-9	64156
1022150-57-7	90624
10226-54-7	94702
1022904-19-3	68257
1022904-20-6	68246
10231-84-2	90253
1023284-62-9	68256
10233-81-5	7909
10235-63-9	32346
10236-47-2	28819
10236-58-5	16633
10237-77-1	139272
10238-21-8	5441
10238-28-5	90136
102396-24-7	66104
1024-57-3	34786
10241-05-1	30635
102448-00-0	66332
10246-75-0	31680
10248-58-5	37372
102487-16-1	5582
102503-60-6	2726
102507-71-1	135713
10251-17-9	90250
102516-53-0	132895
102518-79-6	78330
10254-99-6	71356
10257-28-0	4139
10257-32-6	47006
102575-24-6	73287
102577-03-7	29583
102583-47-1	90868
1025967-78-5	133023
1026016-83-0	64029
1026016-84-1	64030
1026078-50-1	80763
10262-69-8	6690
10262-84-7	81614
102625-70-7	7915
102636-37-3	132197
10265-92-6	38721
102674-12-4	63980
102676-31-3	31589
102676-47-1	94355
102731-57-7	79075
1027369-38-5	69548
102767-28-2	6437
102771-26-6	79560
1028-33-7	135091
102805-51-6	52745
10284-63-6	28548
10285-06-0	5941
10285-07-1	6598
102851-06-9	39367
10287-53-3	52073
102922-02-1	41988
10293-59-1	73979
10294-29-8	30078
10294-56-1	36361
10296-76-1	77267
102989-24-2	2874
10299-44-2	2310
102993-22-6	7572
103-01-5	55477
103-03-7	82521
103-09-3	87392
103-11-7	82465
103-12-8	8464
103-16-2	34380
103-17-3	34625
103-23-1	34675
103-25-3	89875
103-29-7	34047
103-30-0	36007
103-33-3	58996
103-33-3	190358
103-43-5	3058
103-45-7	31988
103-48-0	87409
103-50-4	87411
103-52-6	87413
103-54-8	31402
103-65-1	42630
103-69-5	34870
103-70-8	42416
103-71-9	53806
103-72-0	85103
103-73-1	67129
103-79-7	52052
103-81-1	16562
103-82-2	30745
103-84-4	28884
103-85-5	46261
103-86-6	103855
103-90-2	46195
103-97-9	134848
10300-27-3	70867
1030377-33-3	82698
103055-07-8	39384
103059-95-6	81033
103060-53-3	600103
103065-20-9	80949
10308-13-1	3929
10309-95-2	44107
1031-47-6	82069
10310-07-3	133952
10310-21-1	72345
10310-32-4	32256
