NCIT ID	Target NS	Target ID
C1333	CHEBI	CHEBI:50223
C1334	CHEBI	CHEBI:27306
C1336	CHEBI	CHEBI:567361
C1361	CHEBI	CHEBI:64143
C1362	CHEBI	CHEBI:4462
C1375	CHEBI	CHEBI:30087
C1379	CHEBI	CHEBI:31638
C1395	CHEBI	CHEBI:32296
C1402	CHEBI	CHEBI:8379
C1404	CHEBI	CHEBI:37699
C1408	CHEBI	CHEBI:45367
C1409	CHEBI	CHEBI:31358
C1411	CHEBI	CHEBI:45863
C1413	CHEBI	CHEBI:63632
C1418	CHEBI	CHEBI:59587
C1420	CHEBI	CHEBI:47868
C1421	CHEBI	CHEBI:26523
C1421	CHEBI	CHEBI:61073
C1422	CHEBI	CHEBI:38803
C1423	CHEBI	CHEBI:196991
C1424	CHEBI	CHEBI:47807
C1428	CHEBI	CHEBI:63581
C1431	CHEBI	CHEBI:36704
C1436	CHEBI	CHEBI:32898
C1443	CHEBI	CHEBI:36683
C1444	CHEBI	CHEBI:37445
C1446	CHEBI	CHEBI:35232
C1449	CHEBI	CHEBI:37339
C1450	CHEBI	CHEBI:33749
C1452	CHEBI	CHEBI:28304
C1461	CHEBI	CHEBI:10782
C1461	CHEBI	CHEBI:15420
C1462	CHEBI	CHEBI:556075
C1471	CHEBI	CHEBI:63577
C1490	CHEBI	CHEBI:36064
C1500	CHEBI	CHEBI:17334
C1501	CHEBI	CHEBI:8082
C1503	CHEBI	CHEBI:17256
C1505	CHEBI	CHEBI:50733
C1507	CHEBI	CHEBI:8365
C1509	CHEBI	CHEBI:63726
C1514	CHEBI	CHEBI:48705
C1518	CHEBI	CHEBI:8772
C152067	CHEBI	CHEBI:61121
C152068	CHEBI	CHEBI:28158
C152070	CHEBI	CHEBI:15553
C152071	CHEBI	CHEBI:33216
C152072	CHEBI	CHEBI:26092
C152073	CHEBI	CHEBI:43355
C1522	CHEBI	CHEBI:9753
C1526	CHEBI	CHEBI:59809
C1527	CHEBI	CHEBI:6413
C1533	CHEBI	CHEBI:63722
C1544	CHEBI	CHEBI:61080
C1550	CHEBI	CHEBI:24020
C1551	CHEBI	CHEBI:27314
C1559	CHEBI	CHEBI:63606
C1574	CHEBI	CHEBI:50648
C1589	CHEBI	CHEBI:59897
C1594	CHEBI	CHEBI:49322
C1595	CHEBI	CHEBI:26895
C1599	CHEBI	CHEBI:3090
C1600	CHEBI	CHEBI:59495
C1607	CHEBI	CHEBI:2704
C1609	CHEBI	CHEBI:45409
C1622	CHEBI	CHEBI:31549
C162311	CHEBI	CHEBI:17202
C1627	CHEBI	CHEBI:59045
C1627	CHEBI	CHEBI:62507
C16342	CHEBI	CHEBI:59163
C1635	CHEBI	CHEBI:50859
C163573	CHEBI	CHEBI:140423
C163574	CHEBI	CHEBI:140424
C163575	CHEBI	CHEBI:140425
C163577	CHEBI	CHEBI:34520
C163578	CHEBI	CHEBI:2555
C163585	CHEBI	CHEBI:2653
C163586	CHEBI	CHEBI:47217
C163587	CHEBI	CHEBI:38587
C163588	CHEBI	CHEBI:2953
C163589	CHEBI	CHEBI:34556
C163590	CHEBI	CHEBI:3014
C163632	CHEBI	CHEBI:33117
C163633	CHEBI	CHEBI:82104
C163634	CHEBI	CHEBI:38465
C163635	CHEBI	CHEBI:38588
C163636	CHEBI	CHEBI:34611
C163637	CHEBI	CHEBI:82107
C163638	CHEBI	CHEBI:38476
C163639	CHEBI	CHEBI:38590
C163640	CHEBI	CHEBI:39285
C163641	CHEBI	CHEBI:34631
C163642	CHEBI	CHEBI:34632
C163644	CHEBI	CHEBI:38621
C163645	CHEBI	CHEBI:82116
C163646	CHEBI	CHEBI:34682
C163647	CHEBI	CHEBI:38658
C163648	CHEBI	CHEBI:17941
C163649	CHEBI	CHEBI:34714
C163652	CHEBI	CHEBI:38661
C163654	CHEBI	CHEBI:38483
C163655	CHEBI	CHEBI:38663
C163656	CHEBI	CHEBI:38680
C163657	CHEBI	CHEBI:34304
C163658	CHEBI	CHEBI:5009
C163659	CHEBI	CHEBI:38689
C163660	CHEBI	CHEBI:38491
C163661	CHEBI	CHEBI:82126
C163664	CHEBI	CHEBI:27744
C163665	CHEBI	CHEBI:63484
C163666	CHEBI	CHEBI:16136
C163667	CHEBI	CHEBI:82135
C163668	CHEBI	CHEBI:6009
C163669	CHEBI	CHEBI:38505
C163671	CHEBI	CHEBI:38721
C163672	CHEBI	CHEBI:34837
C163673	CHEBI	CHEBI:38508
C163674	CHEBI	CHEBI:6835
C163675	CHEBI	CHEBI:39275
C163676	CHEBI	CHEBI:59059
C163677	CHEBI	CHEBI:38746
C163678	CHEBI	CHEBI:38537
C163679	CHEBI	CHEBI:38725
C163680	CHEBI	CHEBI:82092
C163681	CHEBI	CHEBI:38728
C163682	CHEBI	CHEBI:38730
C163683	CHEBI	CHEBI:88215
C163684	CHEBI	CHEBI:38539
C163685	CHEBI	CHEBI:27928
C163686	CHEBI	CHEBI:34917
C163687	CHEBI	CHEBI:38764
C163688	CHEBI	CHEBI:29365
C163690	CHEBI	CHEBI:38832
C163691	CHEBI	CHEBI:30278
C163693	CHEBI	CHEBI:8248
C163694	CHEBI	CHEBI:33191
C163695	CHEBI	CHEBI:82096
C163696	CHEBI	CHEBI:38845
C163697	CHEBI	CHEBI:8712
C163698	CHEBI	CHEBI:34970
C163699	CHEBI	CHEBI:33192
C1637	CHEBI	CHEBI:35634
C163700	CHEBI	CHEBI:38699
C163703	CHEBI	CHEBI:30288
C163704	CHEBI	CHEBI:38945
C163705	CHEBI	CHEBI:38949
C163706	CHEBI	CHEBI:9381
C163707	CHEBI	CHEBI:38960
C163708	CHEBI	CHEBI:35005
C163709	CHEBI	CHEBI:82149
C163711	CHEBI	CHEBI:38549
C163712	CHEBI	CHEBI:38963
C163713	CHEBI	CHEBI:38893
C163714	CHEBI	CHEBI:38571
C163715	CHEBI	CHEBI:35048
C1638	CHEBI	CHEBI:36927
C1642	CHEBI	CHEBI:33371
C1645	CHEBI	CHEBI:28887
C16484	CHEBI	CHEBI:38559
C16486	CHEBI	CHEBI:4056
C1652	CHEBI	CHEBI:50662
C1655	CHEBI	CHEBI:35664
C1658	CHEBI	CHEBI:10034
C1660	CHEBI	CHEBI:64946
C1662	CHEBI	CHEBI:5899
C16642	CHEBI	CHEBI:17089
C16675	CHEBI	CHEBI:35137
C16676	CHEBI	CHEBI:35143
C16687	CHEBI	CHEBI:15358
C1669	CHEBI	CHEBI:9437
C167083	CHEBI	CHEBI:545959
C167084	CHEBI	CHEBI:20106
C16844	CHEBI	CHEBI:35134
C1687	CHEBI	CHEBI:31690
C1697	CHEBI	CHEBI:24127
C1698	CHEBI	CHEBI:37972
C16998	CHEBI	CHEBI:36707
C16998	CHEBI	CHEBI:52450
C1702	CHEBI	CHEBI:64357
C17021	CHEBI	CHEBI:36080
C17022	CHEBI	CHEBI:37396
C17024	CHEBI	CHEBI:24636
C1704	CHEBI	CHEBI:63612
C1707	CHEBI	CHEBI:10023
C1720	CHEBI	CHEBI:466659
C1724	CHEBI	CHEBI:59900
C1725	CHEBI	CHEBI:63449
C1728	CHEBI	CHEBI:41423
C17300	CHEBI	CHEBI:24499
C17300	CHEBI	CHEBI:35721
C173416	CHEBI	CHEBI:68455
C173417	CHEBI	CHEBI:68552
C173418	CHEBI	CHEBI:16101
C173419	CHEBI	CHEBI:27036
C173423	CHEBI	CHEBI:68500
C173424	CHEBI	CHEBI:18280
C1735	CHEBI	CHEBI:50679
C1740	CHEBI	CHEBI:50790
C1741	CHEBI	CHEBI:17996
C1742	CHEBI	CHEBI:48422
C1745	CHEBI	CHEBI:38672
C1745	CHEBI	CHEBI:47916
C1745	CHEBI	CHEBI:63326
C1746	CHEBI	CHEBI:25905
C175292	CHEBI	CHEBI:138249
C175293	CHEBI	CHEBI:81565
C175294	CHEBI	CHEBI:81559
C175295	CHEBI	CHEBI:81564
C175296	CHEBI	CHEBI:6498
C1762	CHEBI	CHEBI:50740
C1794	CHEBI	CHEBI:31348
C180700	CHEBI	CHEBI:28666
C1814	CHEBI	CHEBI:33284
C1815	CHEBI	CHEBI:33860
C1818	CHEBI	CHEBI:9907
C1820	CHEBI	CHEBI:27504
C1825	CHEBI	CHEBI:90693
C1832	CHEBI	CHEBI:8887
C184300	CHEBI	CHEBI:81534
C1845	CHEBI	CHEBI:63615
C1850	CHEBI	CHEBI:600520
C1851	CHEBI	CHEBI:52717
C185348	CHEBI	CHEBI:25682
C1855	CHEBI	CHEBI:49668
C1869	CHEBI	CHEBI:63634
C1872	CHEBI	CHEBI:63452
C1881	CHEBI	CHEBI:50161
C1881	CHEBI	CHEBI:50162
C1904	CHEBI	CHEBI:50276
C1905	CHEBI	CHEBI:36615
C190690	CHEBI	CHEBI:165881
C1909	CHEBI	CHEBI:52217
C1915	CHEBI	CHEBI:33655
C1916	CHEBI	CHEBI:51143
C191976	CHEBI	CHEBI:28640
C192185	CHEBI	CHEBI:82563
C1922	CHEBI	CHEBI:60831
C192638	CHEBI	CHEBI:185936
C1929	CHEBI	CHEBI:62488
C194	CHEBI	CHEBI:16907
C1940	CHEBI	CHEBI:33259
C1946	CHEBI	CHEBI:61115
C1949	CHEBI	CHEBI:33290
C195	CHEBI	CHEBI:31822
C1965	CHEBI	CHEBI:28838
C1967	CHEBI	CHEBI:38637
C1968	CHEBI	CHEBI:50750
C197	CHEBI	CHEBI:254496
C1970	CHEBI	CHEBI:50664
C198	CHEBI	CHEBI:46195
C199	CHEBI	CHEBI:15351
C200	CHEBI	CHEBI:28939
C20029	CHEBI	CHEBI:6495
C200370	CHEBI	CHEBI:26689
C200714	CHEBI	CHEBI:36586
C201	CHEBI	CHEBI:59414
C2015	CHEBI	CHEBI:337298
C2020	CHEBI	CHEBI:64133
C2021	CHEBI	CHEBI:63720
C203	CHEBI	CHEBI:36420
C2040	CHEBI	CHEBI:50181
C205	CHEBI	CHEBI:2453
