Secondary	Primary
10690	29180
10691	29181
10692	29182
10693	29187
10694	29183
10695	17916
10697	28387
10699	17157
1070	18281
10700	17407
10701	29027
10704	50998
10705	17918
10706	50998
10707	15900
10708	16773
10709	50998
1071	17094
10710	28960
10711	28404
10712	27700
10713	27992
10714	18095
10715	16817
10716	15937
10717	16384
10718	28951
10719	32806
1072	28192
10720	35697
10721	16279
10722	16931
10726	28706
10728	28935
1073	28062
10730	16889
10731	28949
10732	27537
10733	18264
10734	27721
10736	17531
10737	28068
10739	15371
1074	27972
10740	15374
10741	15376
10743	15377
10744	15378
10745	15379
10746	15380
10747	15381
10748	15382
10749	15382
1075	16925
10750	15385
10751	15386
10752	15387
10753	15388
10754	15390
10755	15392
10756	15393
10757	15395
10758	15396
10759	15399
1076	27411
10760	30939
10761	15401
10762	15398
10763	15402
10764	15403
10765	15383
10766	15383
10767	15404
10768	15405
10769	15389
1077	16138
10770	15406
10771	30232
10772	15391
107725	59773
10773	15394
10774	15397
10775	15400
10776	15407
10777	15408
10778	15383
10779	15409
1078	15866
10780	15410
10781	15411
10783	15412
10785	15413
10786	15414
10787	15417
10788	15415
10789	15422
1079	16043
10791	15426
10792	15428
10793	15429
10794	15432
10795	15440
10797	29096
10799	15443
1080	28767
10800	37671
10802	37671
10804	15445
10805	15446
10809	15444
1081	28542
10812	18246
10814	15447
10818	18269
10819	15448
1082	16132
10820	15544
10821	15545
10822	15546
10823	15548
10824	15558
10825	15560
10826	44343
10827	15562
10828	15564
10829	15565
1083	18274
10830	15563
10831	15566
108311	9599
10832	15567
10833	15414
10834	15568
10835	15434
10837	15569
10838	15419
10839	15416
1084	27816
10840	15570
10841	15422
10842	15571
10843	15440
10844	29084
10845	15443
10846	15572
10847	16703
10848	16703
10849	15573
1085	37449
10850	15574
10851	15575
108516	3650
10852	15576
10853	15577
108531	9599
10854	15578
10855	15579
10856	15580
10857	15582
10858	15450
10859	32896
108591	31424
1086	27806
10861	32922
10862	15600
10863	15601
108632	9287
10864	15451
10865	15602
10866	15603
10867	15605
10868	15606
10869	15607
1087	28295
10870	15608
10871	15449
10872	15433
10873	15609
10874	15418
10875	15610
10876	15611
10877	15612
10878	17718
10879	15452
10880	17570
10881	16873
10882	17463
10883	18017
10884	15604
10885	15613
10886	15454
10887	15455
10888	35146
10889	30936
1089	13591
10890	36882
10891	15459
108917	6923
10892	15564
10893	15615
10894	15616
10895	15617
10896	15618
10897	15619
10898	15620
10899	15621
10900	15622
10901	29071
10902	15624
10903	16140
10904	17690
10905	18008
10906	15625
10907	15626
10908	15547
10909	15550
1091	28248
10910	15551
10911	15551
10912	15552
10913	15553
10914	15554
109145	623918
10915	15627
10916	15555
10917	15547
10918	15556
10919	15557
1092	28308
10920	15628
10921	15629
10922	15630
10923	15631
10924	15632
10925	15636
10926	15642
10927	15643
10928	15644
10929	15645
1093	16011
10930	15645
10931	15635
10932	15646
10933	15647
10934	15648
10935	15649
10936	15650
10937	15651
10938	15652
10939	36438
1094	17243
10940	15654
10941	15655
10942	36435
10943	15657
10944	15658
10945	15659
109454	3697
10946	15460
10947	15661
10948	27639
10949	15478
1095	27526
10950	15662
10951	15663
10952	15664
10953	15666
10954	15668
10955	15669
10957	36460
10958	15464
10959	15681
1096	27839
10960	15682
10961	30924
10962	15677
10963	15675
10964	15683
10966	15684
10967	15685
10968	15686
10969	41241
1097	27490
10971	15583
10972	15568
10973	17893
10974	15801
10975	15913
10976	15465
10977	30934
10978	15587
10981	16320
10982	15456
10984	15452
10985	18339
10987	15769
10988	16654
10989	15899
1099	27534
10990	17436
10991	17436
10992	16387
10993	16387
10996	15686
10997	17019
10998	18146
10999	16659
1100	18033
11000	17167
11001	16004
11002	15588
11003	17352
11004	32382
11005	36464
11006	15980
11007	16719
11008	29032
1101	30845
11011	17396
11012	17428
11013	16358
11014	15694
11015	18419
11017	16982
11018	30924
11019	16804
1102	15474
11020	18417
11021	18418
11023	16812
11024	15678
11025	16346
11026	15441
11027	17943
11028	18319
11029	29063
1103	28362
11030	15791
11031	17375
11032	17210
11033	18409
11034	17756
11036	16782
11037	18129
11038	15466
110389	8405
11039	30936
1104	16637
11040	17079
11042	16373
11043	18188
11044	16831
11045	15467
11046	15455
11048	15453
11049	35146
1105	28753
11050	16712
11051	27826
11052	17210
11053	16660
11054	27713
11055	50400
110550	17224
110551	17763
11056	17041
11057	17041
11058	15687
11059	16592
1106	28711
11061	16233
11062	15950
11063	30864
11064	18041
11065	16651
11066	15589
11067	17756
11068	15466
11069	17729
11070	16718
11071	17129
11072	15441
110724	51666
11073	18285
11074	16592
11075	17772
11076	15412
11077	30927
11078	15461
11079	15660
1108	27752
11080	17546
11081	33203
11082	15667
11083	15667
11084	16717
11085	29109
11086	29110
11087	28258
11088	18429
11089	28395
11091	18286
11095	15987
11097	17548
111005	4046
11105	17020
11106	17020
11109	15943
1111	52618
11112	28902
11113	17640
11114	16075
11117	16075
11118	16178
11119	16178
1112	18400
11126	18273
11128	17921
11129	16130
11130	16598
11132	18082
11133	16746
11134	17527
11135	16164
11136	16971
11137	17676
11138	16538
11139	17253
11140	17501
11141	27670
11142	27993
11143	18363
11144	17615
11145	17670
11147	16599
11148	16110
11149	29089
1115	28107
11150	17815
11151	49172
11153	16187
11154	16850
11155	17372
11156	16100
11157	17212
11158	38685
11159	16204
1116	28953
11160	18365
11161	18393
11163	29111
11164	17631
11165	17292
11166	15725
11167	30306
11168	16453
11169	17593
1117	36659
11170	17995
11171	17571
11172	16652
11174	18320
11175	16715
11176	16070
11177	29064
11179	16662
1118	27683
11180	17914
11181	17641
11182	17708
11183	16968
11184	17832
11185	15785
11186	29112
11187	17007
11188	15797
11189	16986
1119	27487
11190	29081
11191	17134
11192	18263
11194	18302
11195	18374
11196	18263
11197	16805
11198	37754
11199	16994
1120	28977
11200	18321
11201	18299
11203	17505
11204	17505
11206	17261
11207	17832
11208	17473
11209	18028
11210	15834
112105	553473
11211	15723
11212	17505
11213	17505
11214	16279
11215	15850
11216	17106
11217	15834
11218	16546
11219	16546
1122	16278
11220	18297
11221	18426
11223	16999
11224	15726
11225	17848
11226	17504
11227	16975
11229	15835
1123	16992
11231	16617
11232	16903
11233	17810
11234	17476
11235	17832
11236	15785
11237	17555
11238	36707
1124	17778
11240	16291
11241	17555
11242	30909
11243	18244
11244	15850
11245	17106
11246	17106
11247	30909
11248	16181
11249	16181
1125	28646
11250	17928
112504	204928
112506	42355
11251	30526
11252	17056
11253	16421
11254	16493
11255	15834
11256	17110
11257	16143
11258	16143
11259	18060
11260	17770
11261	15992
11262	15790
11263	17963
11264	17472
11265	18083
11266	16020
11267	16797
11268	17935
11269	16188
11270	16056
11271	18244
11272	18369
11275	18275
11276	18270
11278	18382
11279	15799
1128	17250
11280	16749
11281	17283
11282	18348
11283	16749
11284	16618
11285	16152
11286	16851
11287	17283
11288	18348
11289	17526
1129	17142
11290	16500
11291	16749
11292	16749
11293	17543
11294	16787
11295	17425
11296	16352
11297	15893
11298	18428
11299	32897
1130	28249
11300	18193
11301	16060
11303	15634
11304	15637
11306	15878
11307	17130
11308	50436
11309	16147
1131	28027
11310	16302
11311	16066
11312	16302
11313	16254
11314	16973
11315	16076
11316	15808
11317	15716
11318	18360
11319	36487
11321	18328
11322	15434
11323	15433
11324	17457
11325	16790
11326	15559
11327	18204
11328	18204
11329	16425
1133	36537
11330	17699
11331	18430
11332	15826
11333	16799
11334	17354
11335	17384
11336	18362
11337	16418
113372	30753
11338	16129
11339	17252
1134	28990
11340	17252
11341	16330
11342	16330
11343	16485
113448	17418
11345	18427
113450	30772
11346	17845
11347	17156
11348	28310
11349	18266
11350	16783
11351	16155
11352	18228
11353	17816
113539	31278
11354	18297
11355	18384
11356	18345
11357	16507
11358	18426
11359	16322
1136	28978
11360	16783
11361	16155
11362	16067
11363	16595
11364	15844
11365	18169
11366	17401
11367	16322
11368	18345
1137	17820
11370	27603
11371	16885
1138	28961
11391	16528
11393	15789
11394	18274
11395	18241
11396	17955
11397	16516
11398	16450
11399	27479
1140	17367
11400	16035
11401	17678
11402	16351
11403	15847
11404	17560
11405	16228
11406	15718
11407	29056
11409	16987
11410	17185
11411	16683
114125	15551
11413	16942
11414	18380
11415	18380
11416	16266
11417	17720
11418	15469
11419	18383
11420	15941
11422	16965
11423	15941
11425	36647
11426	33565
11427	36654
11428	16205
11429	17828
1143	28844
11430	15590
11431	15759
11432	15759
11433	35164
11434	32602
11435	17811
11436	16594
11437	16106
11439	15470
1144	28341
11440	16738
11441	16162
11442	18048
11443	16603
11444	16489
11445	17244
11446	29114
11447	16926
11448	32964
1145	17023
11450	18080
11451	17189
11452	16169
11453	16364
11454	17415
11455	16535
11456	32601
11457	17681
11458	17820
11459	15707
1146	17043
11460	29118
11461	16456
11462	18218
11463	15881
11464	17144
11465	17506
11466	16351
11467	17765
11468	16720
11469	16720
1147	17852
11470	18354
11471	18288
11472	16216
11473	16253
11474	18413
11475	16216
11476	17413
11477	18086
11478	17827
11480	33020
