4	C008544
6	D004137
7	C001172
8	C014491
11	C024565
13	C009947
16	C026243
20	C049534
21	C027745
34	D005023
36	C000709759
39	C008232
59	C008885
65	C069879
68	C073443
71	C001918
72	C009091
75	C050862
79	C020729
82	C058070
86	D015095
87	C020757
89	C005045
93	C027316
101	C011275
102	C011276
105	C012488
106	D010768
108	C550086
111	C035122
118	C006509
119	D005680
125	C018966
126	C011483
127	C008070
128	C018977
129	C018575
133	C029041
156	C045357
157	C000614856
174	D019855
175	D000085
176	D019342
177	D000079
179	D000093
180	D000096
186	C011632
190	D000225
203	C024081
204	D000481
206	C038459
215	C430425
219	C079776
220	C016224
222	D000641
223	D064751
229	D010429
238	D010799
240	C032175
241	D001554
242	D001565
244	D019905
249	C026820
254	C454813
259	D001965
260	D018054
261	C018475
262	C026978
263	D020001
273	D002103
274	C036193
276	D002219
280	D002245
281	D002248
289	C034221
299	D007631
301	C107220
312	D002712
313	D006851
314	D011066
321	C028026
323	C030123
325	C585751
326	C007165
331	C002896
332	C014245
335	C034047
338	D020156
339	D000615
340	C031136
341	C067648
342	C042041
355	C030921
356	C026728
359	D010696
363	C015662
366	C032078
368	C007961
370	D005707
371	C024060
385	D010867
392	C065591
397	C015950
398	C016617
413	C066333
418	C046203
430	C047661
434	C081694
435	C111610
436	C034960
437	C117711
438	C117710
453	C543192
454	C031639
460	D006139
469	D015074
484	C098330
487	D008764
496	C017988
500	C001317
501	C000598073
502	C024563
513	C021058
527	C005556
529	C013193
541	C029915
544	C015001
545	C032793
547	D015102
558	C022249
561	C056456
563	C017526
564	D015119
568	C023614
569	C067814
579	C041858
586	D003401
597	D003596
647	C043060
649	C007419
650	D003931
652	C004720
654	C034789
660	C026308
663	C007409
668	D004099
670	D004098
673	C025138
675	C015158
677	C027749
679	D004121
690	C081913
700	D019856
701	C119270
702	D000431
712	D005557
713	C031066
724	C005156
725	C002889
739	D006595
751	D005985
752	C042971
753	D005990
756	C010972
763	C004946
767	D002255
768	D006856
769	D001639
773	C033223
777	C101901
780	D006713
782	C050351
784	D006861
788	C024393
791	C516826
800	C001655
802	C030737
803	C008122
807	D007455
811	C005229
813	C068616
817	C002532
846	D007737
863	C013091
866	C001143
868	C039786
880	D011765
888	C069513
893	C023349
896	D008550
899	D003436
903	C006389
904	C508827
908	C037697
912	C048140
913	C027140
916	C029452
928	C026815
931	C031721
935	D009532
936	D009536
943	D009566
944	D017942
945	C039900
946	D009573
947	D009584
948	D009609
950	C005141
955	C013691
957	D020003
961	C031356
962	D014867
964	C012375
970	D062907
974	D010072
976	C017452
977	D010100
984	C001647
991	D010278
995	C031181
998	C013192
1000	D015078
1002	C098839
1004	C030242
1015	C005448
1021	D011162
1023	C107241
1024	D045542
1028	C005550
1031	D000433
1044	C030985
1045	D011700
1046	D011718
1047	C005296
1048	C031280
1050	D011730
1052	D011733
1055	C024593
1057	D011748
1059	C019428
1061	D010710
1066	D017378
1068	C004784
1082	C502536
1084	D013885
1099	D013447
1102	D013095
1103	D013096
1107	D013261
1112	C009338
1117	D013431
1118	C033158
1119	D013458
1122	C027028
1127	C121030
1128	C038166
1135	D013941
1136	C012572
1140	D014050
1145	C005855
1146	C023336
1152	C021101
1174	D014498
1176	D014508
1179	D014577
1182	C036501
1188	D019820
1194	C036512
1195	C004809
1198	C034219
1208	C014716
1214	C066302
1216	C056639
1219	C031349
1221	D018350
1228	C025427
1231	C052021
1233	D007051
1237	D009647
1239	C057316
1254	D008610
1256	C078706
1283	C013573
1297	C078245
1303	C005434
1317	C065351
1322	D019813
1328	C027512
1329	C051360
1330	C053896
1340	C095653
1342	C048241
1345	C037850
1348	C052490
1359	C098186
