EntrezGene,Symbol
197320,ZNF778
284323,ZNF780A
163131,ZNF780B
163115,ZNF781
158431,ZNF782
100289678,ZNF783
147808,ZNF784
146540,ZNF785
136051,ZNF786
126208,ZNF787
388507,ZNF788
285989,ZNF789
7633,ZNF79
388536,ZNF790
163049,ZNF791
126375,ZNF792
390927,ZNF793
90576,ZNF799
7554,ZNF8
168850,ZNF800
91752,ZNF804A
219578,ZNF804B
390980,ZNF805
388558,ZNF808
347344,ZNF81
729648,ZNF812
126017,ZNF813
730051,ZNF814
125893,ZNF816
55565,ZNF821
55552,ZNF823
152485,ZNF827
374899,ZNF829
55769,ZNF83
91603,ZNF830
128611,ZNF831
401898,ZNF833P
90485,ZNF835
162962,ZNF836
116412,ZNF837
55778,ZNF839
7637,ZNF84
284371,ZNF841
283933,ZNF843
284391,ZNF844
91664,ZNF845
162993,ZNF846
7639,ZNF85
54753,ZNF853
344787,ZNF860
642280,ZNF876P
729747,ZNF878
345462,ZNF879
400713,ZNF880
440122,ZNF891
7643,ZNF90
7644,ZNF91
168374,ZNF92
81931,ZNF93
148198,ZNF98
7652,ZNF99
57169,ZNFX1
284312,ZSCAN1
84891,ZSCAN10
9753,ZSCAN12
80345,ZSCAN16
65982,ZSCAN18
54993,ZSCAN2
7579,ZSCAN20
7589,ZSCAN21
342945,ZSCAN22
222696,ZSCAN23
146050,ZSCAN29
100101467,ZSCAN30
79149,ZSCAN5A
221302,ZUFSP
7789,ZXDA
158586,ZXDB
79364,ZXDC
26009,ZZZ3
