EntrezGene,Symbol
2969,GTF2I
2971,GTF3A
64412,GZF1
9421,HAND1
9464,HAND2
26959,HBP1
139324,HDX
3280,HES1
54626,HES2
390992,HES3
57801,HES4
388585,HES5
55502,HES6
84667,HES7
8820,HESX1
23462,HEY1
23493,HEY2
26508,HEYL
3087,HHEX
3090,HIC1
23119,HIC2
3091,HIF1A
64344,HIF3A
25988,HINFP
3096,HIVEP1
3097,HIVEP2
59269,HIVEP3
284459,HKR1
6596,HLTF
3142,HLX
79618,HMBOX1
10363,HMG20A
10362,HMG20B
3159,HMGA1
8091,HMGA2
22993,HMGXB3
10042,HMGXB4
3166,HMX1
3167,HMX2
340784,HMX3
3174,HNF4G
57594,HOMEZ
84525,HOPX
3198,HOXA1
3206,HOXA10
3207,HOXA11
3209,HOXA13
3199,HOXA2
3200,HOXA3
3201,HOXA4
3202,HOXA5
3203,HOXA6
3204,HOXA7
3205,HOXA9
3211,HOXB1
10481,HOXB13
3212,HOXB2
3213,HOXB3
3214,HOXB4
3215,HOXB5
3216,HOXB6
3217,HOXB7
3218,HOXB8
3219,HOXB9
3226,HOXC10
3227,HOXC11
3228,HOXC12
3229,HOXC13
3221,HOXC4
3222,HOXC5
3223,HOXC6
3224,HOXC8
3225,HOXC9
3231,HOXD1
3236,HOXD10
3237,HOXD11
3238,HOXD12
3239,HOXD13
3232,HOXD3
3233,HOXD4
3234,HOXD8
3235,HOXD9
3297,HSF1
3298,HSF2
3299,HSF4
124535,HSF5
100506164,HSFX1
3397,ID1
3398,ID2
3399,ID3
3400,ID4
3428,IFI16
10320,IKZF1
22807,IKZF2
22806,IKZF3
64375,IKZF4
64376,IKZF5
84684,INSM2
3661,IRF3
3662,IRF4
3663,IRF5
3664,IRF6
3665,IRF7
3394,IRF8
10379,IRF9
79192,IRX1
153572,IRX2
79191,IRX3
50805,IRX4
10265,IRX5
79190,IRX6
3670,ISL1
64843,ISL2
91464,ISX
3720,JARID2
221895,JAZF1
122953,JDP2
3725,JUN
3726,JUNB
3727,JUND
10524,KAT5
7994,KAT6A
23522,KAT6B
11143,KAT7
84148,KAT8
56888,KCMF1
30818,KCNIP3
22992,KDM2A
5927,KDM5A
10765,KDM5B
8242,KDM5C
8284,KDM5D
8570,KHSRP
57670,KIAA1549
205717,KIAA2018
10661,KLF1
7071,KLF10
8462,KLF11
11278,KLF12
51621,KLF13
28999,KLF15
83855,KLF16
128209,KLF17
10365,KLF2
51274,KLF3
688,KLF5
1316,KLF6
8609,KLF7
11279,KLF8
687,KLF9
83746,L3MBTL2
84456,L3MBTL3
91133,L3MBTL4
10660,LBX1
85474,LBX2
84458,LCOR
254251,LCORL
51176,LEF1
3975,LHX1
9355,LHX2
89884,LHX4
64211,LHX5
26468,LHX6
431707,LHX8
56956,LHX9
4009,LMX1A
4010,LMX1B
9208,LRRFIP1
9209,LRRFIP2
55646,LYAR
4066,LYL1
84944,MAEL
4094,MAF
84232,MAF1
389692,MAFA
23764,MAFF
4097,MAFG
7975,MAFK
9782,MATR3
4150,MAZ
4152,MBD1
8932,MBD2
53615,MBD3
8930,MBD4
55777,MBD5
114785,MBD6
55796,MBNL3
2122,MECOM
4204,MECP2
100271849,MEF2B
4208,MEF2C
4209,MEF2D
4211,MEIS1
4212,MEIS2
56917,MEIS3
4213,MEIS3P1
257468,MEIS3P2
4222,MEOX1
4223,MEOX2
55897,MESP1
145873,MESP2
23269,MGA
57708,MIER1
54531,MIER2
166968,MIER3
55320,MIS18BP1
4286,MITF
83881,MIXL1
283078,MKX
4297,MLL
8085,MLL2
58508,MLL3
9757,MLL4
55904,MLL5
4298,MLLT1
8028,MLLT10
10962,MLLT11
4300,MLLT3
4301,MLLT4
4302,MLLT6
6945,MLX
22877,MLXIP
51085,MLXIPL
4335,MNT
3110,MNX1
9242,MSC
4487,MSX1
4488,MSX2
9112,MTA1
9219,MTA2
57504,MTA3
4520,MTF1
22823,MTF2
4084,MXD1
83463,MXD3
10608,MXD4
4601,MXI1
4603,MYBL1
4605,MYBL2
4610,MYCL1
4617,MYF5
4618,MYF6
55892,MYNN
4654,MYOD1
4656,MYOG
114803,MYSM1
4661,MYT1
23040,MYT1L
7593,MZF1
79923,NANOG
404635,NANOGP1
8648,NCOA1
10499,NCOA2
8202,NCOA3
8031,NCOA4
57727,NCOA5
23054,NCOA6
135112,NCOA7
9611,NCOR1
9612,NCOR2
4760,NEUROD1
4761,NEUROD2
58158,NEUROD4
63974,NEUROD6
4762,NEUROG1
63973,NEUROG2
50674,NEUROG3
10725,NFAT5
4772,NFATC1
4775,NFATC3
4776,NFATC4
4778,NFE2
4779,NFE2L1
9603,NFE2L3
4774,NFIA
4781,NFIB
4784,NFIX
4791,NFKB2
4792,NFKBIA
4793,NFKBIB
84807,NFKBID
4794,NFKBIE
4795,NFKBIL1
64332,NFKBIZ
4798,NFRKB
4799,NFX1
152518,NFXL1
4801,NFYB
4802,NFYC
4808,NHLH2
55922,NKRF
390010,NKX1-2
7080,NKX2-1
4821,NKX2-2
159296,NKX2-3
644524,NKX2-4
1482,NKX2-5
137814,NKX2-6
26257,NKX2-8
4825,NKX6-1
84504,NKX6-2
157848,NKX6-3
64318,NOC3L
79050,NOC4L
4841,NONO
4861,NPAS1
4862,NPAS2
64067,NPAS3
266743,NPAS4
190,NR0B1
8431,NR0B2
9572,NR1D1
9975,NR1D2
10062,NR1H3
9971,NR1H4
8856,NR1I2
9970,NR1I3
7181,NR2C1
7182,NR2C2
7101,NR2E1
7026,NR2F2
2063,NR2F6
4306,NR3C2
3164,NR4A1
8013,NR4A3
2516,NR5A1
2494,NR5A2
2649,NR6A1
4899,NRF1
4901,NRL
116448,OLIG1
10215,OLIG2
167826,OLIG3
3175,ONECUT1
9480,ONECUT2
390874,ONECUT3
130497,OSR1
116039,OSR2
5013,OTX1
5015,OTX2
5017,OVOL1
58495,OVOL2
142,PARP1
64761,PARP12
23598,PATZ1
5074,PAWR
5075,PAX1
5077,PAX3
5081,PAX7
7849,PAX8
5083,PAX9
55193,PBRM1
5089,PBX2
5090,PBX3
80714,PBX4
5093,PCBP1
5094,PCBP2
54039,PCBP3
57060,PCBP4
84108,PCGF6
3651,PDX1
5178,PEG3
5241,PGR
5245,PHB
11331,PHB2
51230,PHF20
84844,PHF5A
401,PHOX2A
8929,PHOX2B
10745,PHTF1
57157,PHTF2
5307,PITX1
5308,PITX2
5309,PITX3
5316,PKNOX1
63876,PKNOX2
5325,PLAGL1
5326,PLAGL2
5341,PLEK
23126,POGZ
5449,POU1F1
5450,POU2AF1
5451,POU2F1
5452,POU2F2
25833,POU2F3
5453,POU3F1
5454,POU3F2
5455,POU3F3
5456,POU3F4
5457,POU4F1
5458,POU4F2
5459,POU4F3
5462,POU5F1B
134187,POU5F2
5463,POU6F1
11281,POU6F2
5465,PPARA
5467,PPARD
10848,PPP1R13L
639,PRDM1
56980,PRDM10
56981,PRDM11
59336,PRDM13
63978,PRDM14
63977,PRDM15
63976,PRDM16
7799,PRDM2
11108,PRDM4
11107,PRDM5
93166,PRDM6
56978,PRDM8
10113,PREB
5612,PRKRIR
5629,PROX1
5396,PRRX1
51450,PRRX2
55269,PSPC1
256297,PTF1A
5813,PURA
5814,PURB
29942,PURG
5914,RARA
5915,RARB
5916,RARG
30062,RAX
84839,RAX2
57786,RBAK
55696,RBM22
3516,RBPJ
11317,RBPJL
149041,RC3H1
54542,RC3H2
23186,RCOR1
283248,RCOR2
55758,RCOR3
5971,RELB
473,RERE
5989,RFX1
5990,RFX2
5991,RFX3
5992,RFX4
5993,RFX5
222546,RFX6
64864,RFX7
731220,RFX8
8625,RFXANK
5994,RFXAP
158800,RHOXF1
6018,RLF
6095,RORA
6096,RORB
6097,RORC
862,RUNX1T1
860,RUNX2
864,RUNX3
6257,RXRB
6258,RXRG
6299,SALL1
6297,SALL2
27164,SALL3
57167,SALL4
6304,SATB1
23314,SATB2
49855,SCAPER
83482,SCRT1
85508,SCRT2
645832,SEBOX
26040,SETBP1
6421,SFPQ
6473,SHOX
6474,SHOX2
6492,SIM1
6493,SIM2
6495,SIX1
10736,SIX2
6496,SIX3
51804,SIX4
147912,SIX5
4990,SIX6
6497,SKI
6498,SKIL
390598,SKOR1
10463,SLC30A9
4086,SMAD1
4087,SMAD2
4088,SMAD3
4089,SMAD4
4090,SMAD5
4091,SMAD6
4092,SMAD7
4093,SMAD9
6594,SMARCA1
6595,SMARCA2
6597,SMARCA4
8467,SMARCA5
56916,SMARCAD1
50485,SMARCAL1
6598,SMARCB1
6599,SMARCC1
6601,SMARCC2
6602,SMARCD1
6603,SMARCD2
6604,SMARCD3
6605,SMARCE1
6615,SNAI1
6591,SNAI2
333929,SNAI3
6621,SNAPC4
402381,SOHLH1
54937,SOHLH2
6656,SOX1
6663,SOX10
6664,SOX11
6666,SOX12
9580,SOX13
8403,SOX14
6665,SOX15
54345,SOX18
11166,SOX21
6658,SOX3
11063,SOX30
6659,SOX4
55553,SOX6
83595,SOX7
30812,SOX8
6672,SP100
3431,SP110
11262,SP140
93349,SP140L
6668,SP2
6670,SP3
6671,SP4
389058,SP5
80320,SP6
121340,SP7
221833,SP8
100131390,SP9
25803,SPDEF
121599,SPIC
6720,SREBF1
6721,SREBF2
6749,SSRP1
9705,ST18
6773,STAT2
6775,STAT4
6776,STAT5A
6777,STAT5B
6778,STAT6
6871,TADA2A
93624,TADA2B
6872,TAF1
8887,TAX1BP1
30851,TAX1BP3
9519,TBPL1
10716,TBR1
6899,TBX1
6913,TBX15
9096,TBX18
9095,TBX19
6909,TBX2
57057,TBX20
30009,TBX21
50945,TBX22
6926,TBX3
9496,TBX4
6910,TBX5
6911,TBX6
6938,TCF12
6939,TCF15
6941,TCF19
6942,TCF20
6943,TCF21
150921,TCF23
100129654,TCF24
22980,TCF25
6925,TCF4
6932,TCF7
83439,TCF7L1
6934,TCF7L2
10732,TCFL5
8463,TEAD2
7005,TEAD3
7004,TEAD4
7008,TEF
7013,TERF1
7014,TERF2
80312,TET1
54790,TET2
200424,TET3
7019,TFAM
7021,TFAP2B
7022,TFAP2C
7023,TFAP4
51106,TFB1M
64216,TFB2M
7024,TFCP2
29842,TFCP2L1
7027,TFDP1
7029,TFDP2
51270,TFDP3
7030,TFE3
7942,TFEB
22797,TFEC
7050,TGIF1
60436,TGIF2
90316,TGIF2LX
55145,THAP1
56906,THAP10
57215,THAP11
83591,THAP2
90326,THAP3
51078,THAP4
168451,THAP5
152815,THAP6
80764,THAP7
199745,THAP8
79725,THAP9
7067,THRA
7068,THRB
3195,TLX1
3196,TLX2
30012,TLX3
114034,TOE1
4796,TONSL
10210,TOPORS
9760,TOX
84969,TOX2
27324,TOX3
9878,TOX4
8626,TP63
7161,TP73
348825,TPRXL
55809,TRERF1
7227,TRPS1
8848,TSC22D1
9819,TSC22D2
1831,TSC22D3
81628,TSC22D4
10194,TSHZ1
128553,TSHZ2
57616,TSHZ3
7270,TTF1
8458,TTF2
7275,TUB
7291,TWIST1
117581,TWIST2
7342,UBP1
7343,UBTF
340260,UNCX
85451,UNK
64718,UNKL
7392,USF2
8433,UTF1
11023,VAX1
25806,VAX2
27287,VENTX
7716,VEZF1
30813,VSX1
338917,VSX2
11169,WDHD1
7468,WHSC1
58525,WIZ
7490,WT1
7494,XBP1
4904,YBX1
51087,YBX2
55689,YEATS2
8089,YEATS4
7528,YY1
9189,ZBED1
79413,ZBED2
84327,ZBED3
9889,ZBED4
58486,ZBED5
81030,ZBP1
22890,ZBTB1
