CHEBI	CHEMBL
2659	CHEMBL1370561
2661	CHEMBL1200966
2663	CHEMBL633
2664	CHEMBL1083993
2666	CHEMBL629
2667	CHEMBL1200964
2668	CHEMBL1491
2669	CHEMBL1200402
2670	CHEMBL464777
2672	CHEMBL458337
2673	CHEMBL267894
2674	CHEMBL682
2675	CHEMBL1113
2676	CHEMBL1082
2682	CHEMBL267345
2686	CHEMBL12856
2687	CHEMBL43
2691	CHEMBL1535371
2696	CHEMBL33778
2700	CHEMBL15848
2704	CHEMBL1399
2705	CHEMBL3640772
2706	CHEMBL25619
2710	CHEMBL440283
2716	CHEMBL3185908
2718	CHEMBL262670
2719	CHEMBL408403
2723	CHEMBL486196
2742	CHEMBL257746
2755	CHEMBL192032
2756	CHEMBL1579066
2759	CHEMBL451362
2760	CHEMBL1319047
2762	CHEMBL1231114
2765	CHEMBL364464
2766	CHEMBL29711
2769	CHEMBL350958
2772	CHEMBL1197890
2781	CHEMBL346919
2787	CHEMBL1163488
2788	CHEMBL647
2789	CHEMBL1200379
2790	CHEMBL1230961
2791	CHEMBL7863
2803	CHEMBL448122
2804	CHEMBL349609
2805	CHEMBL446602
2811	CHEMBL523620
2813	CHEMBL432561
2814	CHEMBL7303
2817	CHEMBL297630
2821	CHEMBL525626
2825	CHEMBL93353
2826	CHEMBL1186510
2829	CHEMBL425554
2852	CHEMBL158124
2866	CHEMBL467614
2867	CHEMBL445086
2871	CHEMBL253257
2873	CHEMBL404313
2874	CHEMBL61332
2877	CHEMBL171679
2881	CHEMBL461910
2884	CHEMBL214690
2896	CHEMBL296419
2899	CHEMBL358769
2904	CHEMBL24
2914	CHEMBL1360
2915	CHEMBL1200527
2920	CHEMBL1079777
2921	CHEMBL573376
2931	CHEMBL2219815
2932	CHEMBL509850
2940	CHEMBL2103985
2941	CHEMBL487810
2942	CHEMBL509309
2945	CHEMBL470848
2946	CHEMBL946
2947	CHEMBL3544908
2948	CHEMBL1542
2950	CHEMBL639
2951	CHEMBL1200809
2952	CHEMBL1993397
2953	CHEMBL530115
2955	CHEMBL529
2956	CHEMBL1537
2962	CHEMBL203191
2965	CHEMBL314691
2967	CHEMBL2074702
2968	CHEMBL1583
2969	CHEMBL1200965
2972	CHEMBL701
2979	CHEMBL8260
2980	CHEMBL182992
2981	CHEMBL485818
2991	CHEMBL2103763
2994	CHEMBL487606
2997	CHEMBL228126
3000	CHEMBL249052
3001	CHEMBL1586
3002	CHEMBL1200500
3005	CHEMBL105087
3008	CHEMBL185776
3011	CHEMBL838
3012	CHEMBL1694
3013	CHEMBL1684
3014	CHEMBL2252178
3015	CHEMBL327919
3016	CHEMBL2269059
3017	CHEMBL2313154
3018	CHEMBL1567045
3023	CHEMBL388590
3032	CHEMBL1374379
3044	CHEMBL3545985
3047	CHEMBL1201039
3048	CHEMBL1201203
3049	CHEMBL1200383
3056	CHEMBL224221
3061	CHEMBL1008
3063	CHEMBL504323
3070	CHEMBL476869
3077	CHEMBL632
3078	CHEMBL1200762
3080	CHEMBL1172614
3082	CHEMBL423
3084	CHEMBL1482
3085	CHEMBL1768
3086	CHEMBL23236
3087	CHEMBL269277
3089	CHEMBL285347
3090	CHEMBL63560
3092	CHEMBL417990
3093	CHEMBL2227975
3094	CHEMBL463312
3096	CHEMBL373432
3103	CHEMBL1318117
3104	CHEMBL461628
3112	CHEMBL1101
3122	CHEMBL1231178
3125	CHEMBL942
3127	CHEMBL645
3128	CHEMBL1472989
3129	CHEMBL3306579
3131	CHEMBL290106
3133	CHEMBL1201295
3134	CHEMBL1200405
3136	CHEMBL1574943
3139	CHEMBL403664
3141	CHEMBL369741
3146	CHEMBL1222167
3148	CHEMBL388342
3159	CHEMBL476877
3162	CHEMBL1087008
3164	CHEMBL1316470
3165	CHEMBL406291
3170	CHEMBL598951
3172	CHEMBL1199080
3173	CHEMBL1095292
3175	CHEMBL844
3176	CHEMBL220491
3179	CHEMBL16068
3181	CHEMBL493
3182	CHEMBL1200503
3183	CHEMBL811
3184	CHEMBL1200961
3185	CHEMBL253563
3186	CHEMBL468906
3188	CHEMBL509895
3190	CHEMBL140809
3192	CHEMBL504960
3193	CHEMBL501756
3203	CHEMBL1338870
3204	CHEMBL1891586
3205	CHEMBL1201271
3206	CHEMBL485981
3207	CHEMBL1370
3208	CHEMBL1173297
3209	CHEMBL39736
3210	CHEMBL416526
3211	CHEMBL157912
3213	CHEMBL1072
3216	CHEMBL560511
3218	CHEMBL3186631
3219	CHEMBL894
3220	CHEMBL1698
3221	CHEMBL12160
3222	CHEMBL3582087
3223	CHEMBL49
3224	CHEMBL1200399
3228	CHEMBL449
3229	CHEMBL1200982
3230	CHEMBL1399036
3231	CHEMBL127516
3232	CHEMBL2252179
3237	CHEMBL128000
3238	CHEMBL990
3240	CHEMBL1295
3241	CHEMBL1200398
3242	CHEMBL33986
3245	CHEMBL1546388
3248	CHEMBL471480
3250	CHEMBL508648
3258	CHEMBL389051
3259	CHEMBL224214
3286	CHEMBL1201087
3291	CHEMBL1407645
3299	CHEMBL502127
3302	CHEMBL189790
3303	CHEMBL1977168
3305	CHEMBL1434752
3310	CHEMBL1200800
3311	CHEMBL1200539
3312	CHEMBL1200668
3314	CHEMBL1237066
3329	CHEMBL495949
3330	CHEMBL92708
3333	CHEMBL464770
3347	CHEMBL1016
3348	CHEMBL1014
3349	CHEMBL1200647
3350	CHEMBL1186075
3353	CHEMBL35084
3354	CHEMBL434492
3356	CHEMBL271164
3357	CHEMBL422704
3359	CHEMBL498672
3360	CHEMBL74415
3362	CHEMBL1329004
3363	CHEMBL156897
3366	CHEMBL478775
3374	CHEMBL294199
3375	CHEMBL1519371
3380	CHEMBL1560
3382	CHEMBL380352
3383	CHEMBL575125
3385	CHEMBL14
3387	CHEMBL108
3388	CHEMBL1258
3390	CHEMBL46917
3392	CHEMBL70971
3393	CHEMBL1214
3395	CHEMBL1200748
3398	CHEMBL864
3405	CHEMBL1231667
3410	CHEMBL3544547
3414	CHEMBL1095283
3419	CHEMBL1233
3423	CHEMBL513
3424	CHEMBL1620698
3429	CHEMBL218693
3436	CHEMBL1436987
3437	CHEMBL839
3438	CHEMBL1201002
3440	CHEMBL281202
3441	CHEMBL723
3452	CHEMBL492762
3454	CHEMBL2010022
3455	CHEMBL516967
3456	CHEMBL2262843
3458	CHEMBL254549
3461	CHEMBL446979
3474	CHEMBL66191
3478	CHEMBL680
3479	CHEMBL1644
3480	CHEMBL1146
3481	CHEMBL1618
3483	CHEMBL1200523
3484	CHEMBL1614665
3485	CHEMBL927
3488	CHEMBL2074822
3489	CHEMBL1201195
3490	CHEMBL1201118
3491	CHEMBL1601
3492	CHEMBL1201005
3493	CHEMBL507674
3494	CHEMBL1200482
3495	CHEMBL1201046
3498	CHEMBL1010
3499	CHEMBL474579
3501	CHEMBL1200530
3502	CHEMBL1276663
3503	CHEMBL65794
3504	CHEMBL1672
3505	CHEMBL1201016
3506	CHEMBL3301800
3507	CHEMBL3351077
3508	CHEMBL44354
3509	CHEMBL3186392
3510	CHEMBL1605
3512	CHEMBL1201019
3515	CHEMBL1436
3516	CHEMBL1095930
3517	CHEMBL2146124
3533	CHEMBL255708
3534	CHEMBL1727
3535	CHEMBL1200544
3536	CHEMBL1397662
3537	CHEMBL316157
3540	CHEMBL276462
3542	CHEMBL1632
3545	CHEMBL1201043
3546	CHEMBL449782
3547	CHEMBL1604
3556	CHEMBL2323033
3558	CHEMBL1477
3559	CHEMBL1200563
3561	CHEMBL1000
3562	CHEMBL1607273
3565	CHEMBL113150
3566	CHEMBL2003538
3567	CHEMBL307346
3572	CHEMBL1333931
3573	CHEMBL495665
3575	CHEMBL250348
3577	CHEMBL470984
3578	CHEMBL472016
3579	CHEMBL2314661
3580	CHEMBL1554674
3581	CHEMBL458613
3583	CHEMBL525240
3594	CHEMBL282731
3595	CHEMBL495277
3602	CHEMBL266240
3605	CHEMBL1506
3608	CHEMBL1275654
3611	CHEMBL451
3612	CHEMBL1200703
3614	CHEMBL790
3619	CHEMBL1200714
3628	CHEMBL3183369
3629	CHEMBL2227759
3636	CHEMBL1179047
3637	CHEMBL944
3638	CHEMBL76
3639	CHEMBL468167
3640	CHEMBL842
3641	CHEMBL1200761
3642	CHEMBL388751
3643	CHEMBL607710
3645	CHEMBL1659
3646	CHEMBL1201269
3647	CHEMBL71
3648	CHEMBL3220941
3649	CHEMBL1713
3650	CHEMBL498
3654	CHEMBL1055
3655	CHEMBL1371
3668	CHEMBL2104095
3680	CHEMBL1437285
3682	CHEMBL53418
3684	CHEMBL275391
3685	CHEMBL465439
3686	CHEMBL122196
3687	CHEMBL41092
3688	CHEMBL443804
3689	CHEMBL33256
3690	CHEMBL483031
3695	CHEMBL140367
3696	CHEMBL152
3697	CHEMBL766
3698	CHEMBL515606
3699	CHEMBL30
3702	CHEMBL251476
3703	CHEMBL533841
3708	CHEMBL1903971
3711	CHEMBL373458
3715	CHEMBL2322655
3716	CHEMBL1208
3718	CHEMBL487213
3719	CHEMBL72637
3720	CHEMBL560739
3721	CHEMBL1200641
3732	CHEMBL1741
3737	CHEMBL514923
3738	CHEMBL1626
3739	CHEMBL1200795
3740	CHEMBL510091
3741	CHEMBL2269683
3745	CHEMBL376185
3749	CHEMBL1369407
3750	CHEMBL565
3751	CHEMBL1076356
3752	CHEMBL2355051
3753	CHEMBL3185958
3755	CHEMBL1200710
3756	CHEMBL452
3757	CHEMBL134
3758	CHEMBL1705
3759	CHEMBL1083385
3761	CHEMBL1213252
3762	CHEMBL2096631
3763	CHEMBL8706
3764	CHEMBL104
3766	CHEMBL42
3802	CHEMBL1904999
3830	CHEMBL2268550
3844	CHEMBL26881
3845	CHEMBL269703
3846	CHEMBL283639
3847	CHEMBL280723
3854	CHEMBL409627
3856	CHEMBL1911140
3861	CHEMBL509065
3884	CHEMBL449392
3887	CHEMBL364613
3888	CHEMBL248564
3897	CHEMBL1650
3898	CHEMBL1908046
3899	CHEMBL1908042
3900	CHEMBL86416
3901	CHEMBL2103784
3903	CHEMBL251680
3905	CHEMBL1981794
3908	CHEMBL30707
3914	CHEMBL516991
3917	CHEMBL454849
3918	CHEMBL464792
3920	CHEMBL27289
3921	CHEMBL49035
3927	CHEMBL1688963
3930	CHEMBL119096
3932	CHEMBL198075
3940	CHEMBL455518
3941	CHEMBL508185
3943	CHEMBL493646
3944	CHEMBL455056
3945	CHEMBL488312
3946	CHEMBL551160
3947	CHEMBL387737
3948	CHEMBL1923790
3956	CHEMBL455633
3960	CHEMBL1208973
3961	CHEMBL89138
3962	CHEMBL140
3964	CHEMBL456954
3978	CHEMBL2425137
3987	CHEMBL373379
3988	CHEMBL1480987
3994	CHEMBL648
3996	CHEMBL669
3997	CHEMBL1200636
4021	CHEMBL254129
4024	CHEMBL1201338
4026	CHEMBL1200796
4027	CHEMBL88
4029	CHEMBL1976863
4031	CHEMBL160
4034	CHEMBL2104608
4035	CHEMBL2105498
4037	CHEMBL1075788
4038	CHEMBL374146
4041	CHEMBL487020
4042	CHEMBL373204
4044	CHEMBL600127
4045	CHEMBL521027
4046	CHEMBL516
4047	CHEMBL371579
4055	CHEMBL497939
4093	CHEMBL1222152
4109	CHEMBL1412041
4110	CHEMBL2104047
4139	CHEMBL195923
4141	CHEMBL1159525
4167	CHEMBL1222250
4191	CHEMBL2093058
4208	CHEMBL469448
4285	CHEMBL1160738
4286	CHEMBL1162148
4289	CHEMBL312653
4290	CHEMBL47814
4303	CHEMBL277631
4304	CHEMBL108821
4305	CHEMBL1574179
4308	CHEMBL1829658
4312	CHEMBL2164243
4314	CHEMBL2286469
4315	CHEMBL1479
4317	CHEMBL1741132
4318	CHEMBL1725283
4319	CHEMBL510612
4320	CHEMBL584162
4321	CHEMBL2023369
4323	CHEMBL2262848
4324	CHEMBL508494
4325	CHEMBL1043
4331	CHEMBL442717
4342	CHEMBL1905125
4344	CHEMBL282159
4353	CHEMBL481658
4354	CHEMBL481657
4356	CHEMBL556
4357	CHEMBL393417
4361	CHEMBL182629
4363	CHEMBL1697741
4372	CHEMBL461278
4379	CHEMBL929
4385	CHEMBL1242534
4387	CHEMBL480500
4388	CHEMBL1593566
4389	CHEMBL2207416
4390	CHEMBL2228355
4391	CHEMBL1200514
4392	CHEMBL1591
4393	CHEMBL312862
4395	CHEMBL474628
4401	CHEMBL2114380
4410	CHEMBL402435
4414	CHEMBL32570
4427	CHEMBL140758
4428	CHEMBL355821
4429	CHEMBL63970
4435	CHEMBL456881
4441	CHEMBL517040
4445	CHEMBL1200733
4449	CHEMBL1696
4450	CHEMBL1429
4453	CHEMBL1533
4460	CHEMBL9506
4462	CHEMBL2021430
4463	CHEMBL1530428
4464	CHEMBL1201353
4465	CHEMBL1200927
4466	CHEMBL778
4469	CHEMBL612
4470	CHEMBL1908323
4471	CHEMBL1256818
4474	CHEMBL1685
4478	CHEMBL2005379
4480	CHEMBL1255578
4488	CHEMBL366603
4489	CHEMBL170458
4495	CHEMBL181
4506	CHEMBL1553129
4508	CHEMBL1200804
4509	CHEMBL1034
4510	CHEMBL34474
4511	CHEMBL893
4512	CHEMBL22533
4513	CHEMBL1466
4514	CHEMBL1123
4515	CHEMBL1200479
4517	CHEMBL550227
4518	CHEMBL3188448
4520	CHEMBL1880404
4524	CHEMBL296745
4527	CHEMBL684
4528	CHEMBL937
4530	CHEMBL1194666
4532	CHEMBL1200598
4534	CHEMBL1201321
4537	CHEMBL6259
4544	CHEMBL495276
4551	CHEMBL1751
4553	CHEMBL471067
4562	CHEMBL1732
4573	CHEMBL576066
4574	CHEMBL554278
4575	CHEMBL1500
4579	CHEMBL228120
4581	CHEMBL1614805
4582	CHEMBL111234
4583	CHEMBL3039391
4591	CHEMBL2356023
4593	CHEMBL41028
4601	CHEMBL1334860
4606	CHEMBL2106347
4608	CHEMBL1347061
4609	CHEMBL323348
4623	CHEMBL348687
4629	CHEMBL412437
4630	CHEMBL90568
4631	CHEMBL231884
4633	CHEMBL242550
4636	CHEMBL657
4637	CHEMBL1620
4638	CHEMBL936
4639	CHEMBL1201294
4640	CHEMBL38688
4645	CHEMBL221190
4646	CHEMBL1201262
4647	CHEMBL1200833
4648	CHEMBL455613
4650	CHEMBL281786
4652	CHEMBL224816
4653	CHEMBL932
4657	CHEMBL517
4658	CHEMBL1201020
4659	CHEMBL964
4660	CHEMBL520853
4667	CHEMBL2105613
4670	CHEMBL926
4671	CHEMBL1200418
4672	CHEMBL92
4674	CHEMBL1905872
4676	CHEMBL3182356
4681	CHEMBL473
4682	CHEMBL124754
4696	CHEMBL1678
4698	CHEMBL1557
4702	CHEMBL218490
4703	CHEMBL1201162
4708	CHEMBL707
4709	CHEMBL1200561
4710	CHEMBL1628227
4711	CHEMBL1200462
4712	CHEMBL1200810
4714	CHEMBL485799
4715	CHEMBL457165
4717	CHEMBL1108
4718	CHEMBL1915212
4720	CHEMBL42485
4721	CHEMBL502774
4722	CHEMBL1255737
4723	CHEMBL3398290
4724	CHEMBL1201217
4725	CHEMBL1200478
4728	CHEMBL1752
4732	CHEMBL105139
4733	CHEMBL2074599
4734	CHEMBL2074805
