C001106	3354-42-5
C001107	18181-26-5
C001116	76404-05-2
C001118	76404-03-0
C001119	76404-01-8
C001121	8055-95-6
C001123	3571-34-4
C001130	9013-42-7
C001141	28666-20-8
C001147	54510-89-3
C001149	51023-58-6
C001154	77097-84-8
C001155	6673-68-3
C001157	8003-26-7
C001164	34254-87-0
C001166	3180-56-1
C001168	33644-10-9
C001171	4329-03-7
C001172	2715-68-6
C001174	701-78-0
C001175	32451-42-6
C001176	1950-36-3
C001177	37622-36-9
C001178	4234-79-1
C001179	25331-92-4
C001181	14984-65-7
C001182	13194-48-4
C001183	39630-55-2
C001187	624-79-3
C001189	32845-42-4
C001195	842-00-2
C001199	33854-15-8
C001200	6750-25-0
C001201	77430-01-4
C001205	37338-39-9
C001206	77257-32-0
C001208	8055-46-7
C001220	51005-25-5
C001222	992-18-7
C001226	4301-50-2
C001230	21826-47-1
C001231	398-32-3
C001234	834-91-3
C001235	2560-29-4
C001240	10318-01-1
C001241	34597-42-7
C001243	21686-09-9
C001246	33330-96-0
C001249	27115-65-7
C001250	624-82-8
C001252	3570-75-0
C001255	9042-02-8
C001256	67797-89-1
C001257	77536-63-1
C001258	8058-86-4
C001259	14293-70-0
C001261	12676-47-0
C001262	8031-18-3
C001268	30502-39-7
C001273	77416-66-1
C001274	77416-70-7
C001275	38232-08-5
C001279	8054-74-8
C001280	77416-69-4
C001289	13265-84-4
C001290	31799-84-5
C001292	2464-13-3
C001294	608-81-1
C001295	32448-35-4
C001297	30382-25-3
C001298	30382-24-2
C001299	17105-15-6
C001301	35713-36-1
C001304	2308-53-4
C001305	23815-70-5
C001307	751-98-4
C001308	870-55-3
C001310	17692-44-3
C001313	77536-24-4
C001324	735-46-6
C001327	29900-15-0
C001328	11048-97-8
C001330	465-90-7
C001334	36379-67-6
C001336	11111-49-2
C001339	5712-28-7
C001340	21471-49-8
C001341	362-45-8
C001344	12765-33-2
C001346	20008-10-0
C001349	34437-55-3
C001352	1190-49-4
C001353	34289-07-1
C001354	703-59-3
C001357	77699-49-1
C001358	30922-68-0
C001363	34069-59-5
C001365	4463-22-3
C001366	2438-51-9
C001367	18559-95-0
C001373	31184-53-9
C001374	26690-77-7
C001377	19971-93-8
C001378	21356-07-0
C001380	53-35-0
C001381	27323-64-4
C001385	25331-33-3
C001386	25631-39-4
C001398	604-82-0
C001401	28119-61-1
C001406	3670-59-5
C001413	1634-82-8
C001428	28315-93-7
C001430	15356-74-8
C001432	52869-98-4
C001433	77630-30-9
C001438	202-25-5
C001442	13380-01-3
C001444	8072-89-7
C001451	8067-59-2
C001453	8067-16-1
C001454	8060-82-0
C001458	6466-74-6
C001463	7300-58-5
C001467	26887-04-7
C001472	67255-34-9
C001473	13537-24-1
C001476	77828-24-1
C001477	11014-35-0
C001478	2365-40-4
C001490	1003-07-2
C001492	77904-45-1
C001493	1403-85-6
C001497	8074-25-7
C001501	33970-11-5
C001502	4707-58-8
C001507	35303-12-9
C001510	20509-23-3
C001514	492-26-2
C001521	80-99-9
C001525	5356-59-2
C001526	18869-73-3
C001527	8059-68-5
C001535	35663-84-4
C001538	49760-92-1
C001542	34175-79-6
C001549	9088-43-1
C001550	11075-87-9
C001559	1086-80-2
C001560	39409-41-1
C001561	12698-70-3
C001563	11121-86-1
C001569	34140-52-8
C001571	541-18-4
C001573	4418-61-5
C001578	36983-58-1
C001580	9078-78-8
C001585	38956-82-0
C001586	19902-16-0
C001587	30011-11-1
C001588	1448-16-4
C001590	35396-08-8
C001592	23562-24-5
C001593	34349-88-7
C001594	77828-26-3
C001595	37842-47-0
C001596	37043-42-8
C001598	1403-36-7
C001605	36508-80-2
C001607	69381-99-3
C001609	1849-49-6
C001611	17455-25-3
C001612	36536-48-8
C001615	34864-30-7
C001616	36507-21-8
C001618	1769-25-1
C001621	8015-54-1
C001624	34268-69-4
C001626	38806-37-0
C001628	51384-91-9
C001629	4549-44-4
C001631	870-03-1
C001642	8064-47-9
C001646	37251-39-1
C001649	38838-29-8
C001650	744-46-7
C001651	35935-30-9
C001653	29025-01-2
C001656	26833-86-3
C001664	51273-01-9
C001673	3570-80-7
C001678	37357-69-0
C001685	65454-21-9
C001687	33600-93-0
C001695	12687-83-1
C001699	2425-10-7
C001700	7390-62-7
C001703	31349-81-2
C001705	18841-42-4
C001707	27652-34-2
C001708	6913-23-1
C001709	41451-78-9
C001710	34421-68-6
C001716	9011-02-3
C001719	3736-05-8
C001724	21580-07-4
C001727	33984-50-8
C001730	26259-45-0
C001731	19367-79-4
C001736	3471-31-6
C001740	10232-06-1
C001742	36576-29-1
C001743	25902-35-6
C001744	4853-98-9
C001745	13619-98-2
C001747	366-71-2
C001748	32458-56-3
C001749	1668-54-8
C001754	20263-93-8
C001755	78150-03-5
C001768	38964-85-1
C001769	36388-20-2
C001771	36341-97-6
C001773	16352-21-9
C001774	38557-85-6
C001778	37052-13-4
C001779	38421-09-9
C001784	51601-81-1
C001785	53321-11-2
C001786	34374-08-8
C001788	30804-68-3
C001793	24342-57-2
C001800	26230-27-3
C001804	7123-92-4
C001808	17916-85-7
C001814	30289-21-5
C001820	38004-22-7
C001825	503-28-6
C001827	5140-35-2
C001830	73049-73-7
C001835	9010-01-9
C001839	12764-91-9
C001848	10329-96-1
C001851	76403-96-8
C001853	34047-75-1
C001859	12798-37-7
C001863	5135-79-5
C001866	111-95-5
C001867	31528-53-7
C001868	36965-96-5
C001869	36892-60-1
C001876	37401-68-6
C001877	521-38-0
C001878	18483-64-2
C001879	5663-56-9
C001880	37975-61-4
C001881	21800-48-6
C001884	11025-94-8
C001887	37642-31-2
C001891	2115-98-2
C001894	3194-25-0
C001896	56-00-8
C001897	11006-22-7
C001900	671-08-9
C001902	32465-18-2
C001903	24961-39-5
C001921	1165-62-4
C001922	1088-56-8
C001924	1470-61-7
C001926	496-93-5
C001929	36148-80-8
C001931	59390-90-8
C001932	27016-91-7
C001934	640-59-5
C001936	2283-80-9
C001942	77306-14-0
C001946	36480-36-1
C001950	77462-65-8
C001951	23579-12-6
C001952	2126-63-8
C001955	23656-67-9
C001962	32364-91-3
C001965	2271-93-4
C001970	645-03-4
C001972	100-19-6
C001980	35575-81-6
C001982	20576-52-7
C001983	25474-41-3
C001986	27591-42-0
C001987	26400-31-7
C001988	7326-30-9
C001989	16853-38-6
C001990	10159-46-3
C001991	35996-83-9
C001992	18722-71-9
C001994	78232-31-2
C001995	38048-62-3
C001999	37746-96-6
C002000	34490-85-2
C002001	2464-18-8
C002005	25577-70-2
C002010	34284-75-8
C002011	32752-19-5
C002012	10597-58-7
C002019	1162-06-7
C002023	37348-94-0
C002026	24543-59-7
C002029	21466-08-0
C002031	59030-22-7
C002033	10396-10-8
C002036	3234-02-4
C002040	39288-61-4
C002043	15489-88-0
C002045	39095-16-4
C002047	37557-97-4
C002052	1407-71-2
C002061	13061-27-3
C002062	2133-81-5
C002064	883-84-1
C002066	41758-44-5
C002071	39290-51-2
C002073	22103-30-6
C002076	37331-28-5
C002079	39126-59-5
C002080	7703-83-5
C002082	17086-76-9
C002083	79234-28-9
C002084	53986-51-9
C002091	3270-98-2
C002098	21106-96-7
C002099	12767-02-1
C002101	9076-44-2
C002102	11006-78-3
C002103	21948-17-4
C002110	1709-50-8
C002113	13838-07-8
C002114	37317-09-2
C002116	41144-17-6
C002119	36507-55-8
C002121	13153-27-0
C002131	16006-74-9
C002135	487-11-6
C002137	40129-31-5
C002143	16968-98-2
C002148	20917-49-1
C002149	30114-90-0
C002150	51209-96-2
C002151	15132-05-5
C002152	15129-49-4
C002153	4298-10-6
C002155	10299-44-2
C002160	32179-45-6
C002163	33008-07-0
C002165	35531-99-8
C002166	91-44-1
C002174	35835-01-9
C002175	28990-01-4
C002176	4204-99-3
C002180	11072-19-8
C002183	488-64-2
C002184	78456-94-7
C002186	66587-54-0
C002187	37213-69-7
C002191	24874-37-1
C002193	65415-39-6
C002194	34069-68-6
C002198	40199-40-4
C002201	443-30-1
C002207	41411-01-2
C002218	3443-45-6
C002221	40520-83-0
C002222	2208-05-1
C002225	16124-22-4
C002226	1611-31-0
C002230	15763-06-1
C002233	12028-48-7
C002235	19412-52-3
C002239	60439-52-3
C002241	1042-59-7
C002248	35339-71-0
C002251	75847-68-6
C002252	66592-92-5
C002254	18704-49-9
C002256	5903-13-9
C002257	37085-86-2
C002258	37085-87-3
C002261	31364-57-5
C002262	31364-55-3
C002264	77242-25-2
C002267	598-52-7
C002270	13057-65-3
C002271	21766-17-6
C002279	10111-82-7
C002281	38165-56-9
C002285	42241-11-2
C002292	38202-69-6
C002293	10022-81-8
C002295	9041-06-9
C002297	1249-81-6
C002303	38234-28-5
C002304	853-17-8
C002305	857-07-8
C002307	37764-45-7
C002310	47295-33-0
C002314	41656-90-0
C002318	22855-57-8
C002319	38964-63-5
C002331	81133-28-0
C002340	47048-80-6
C002342	32391-97-2
C002343	31335-60-1
C002344	7021-52-5
C002351	35285-25-7
C002353	16710-13-7
C002356	8056-07-3
C002357	99753-54-5
C002363	32388-21-9
C002366	2618-41-9
C002378	3780-72-1
C002383	54804-09-0
C002400	8013-46-5
C002401	17608-73-0
C002402	566-96-1
C002409	40737-73-3
C002411	40737-70-0
C002414	1973-61-1
C002417	24472-75-1
C002422	40853-66-5
C002424	18084-97-4
C002425	1607-57-4
C002426	41038-34-0
C002427	24643-94-5
C002428	60883-74-1
C002429	5351-23-5
C002432	54-88-6
C002434	60883-77-4
C002437	29533-13-9
C002438	38664-16-3
C002441	40513-59-5
C002442	1107-99-9
C002447	31613-93-1
C002449	1190-00-7
C002451	874-14-6
C002455	38371-01-6
C002457	11113-80-7
C002459	40642-27-1
C002464	41963-49-9
C002465	712-09-4
C002466	38859-43-7
C002469	23255-69-8
C002474	38299-26-2
C002479	40027-75-6
C002481	24960-28-9
C002482	39271-61-9
C002483	25136-55-4
C002484	6732-77-0
C002486	12640-96-9
C002489	3414-47-9
C002490	24771-52-6
C002491	1477-57-2
C002493	3549-17-5
C002494	4108-89-8
C002495	37819-46-8
C002496	40837-99-8
C002507	25651-04-1
C002508	40371-66-2
C002511	28097-03-2
C002513	38641-70-2
C002519	7244-66-8
C002520	961-04-6
C002522	37203-81-9
C002524	737-18-8
C002525	7642-52-6
C002527	51773-61-6
C002529	10163-49-2
C002534	55840-97-6
C002538	156-72-9
C002539	39038-09-0
C002540	3569-84-4
C002543	39028-06-3
C002544	39028-07-4
C002546	19029-67-5
C002547	1402-83-1
C002548	11075-15-3
C002551	41451-76-7
C002552	37332-85-7
C002553	23228-90-2
C002557	35455-44-8
C002559	37306-12-0
C002560	76207-57-3
C002561	36375-30-1
C002566	39032-05-8
C002568	38658-38-7
C002570	16069-36-6
C002572	37055-69-9
C002575	23828-83-3
C002584	38554-81-3
C002585	14721-68-7
C002592	31136-61-5
C002593	19288-87-0
C002595	4831-62-3
C002600	40400-95-1
C002601	37936-58-6
C002603	2221-81-0
C002604	22785-18-8
C002605	38917-80-5
C002611	28172-18-1
C002614	54847-94-8
C002617	38473-69-7
C002624	12640-81-2
C002625	638-43-7
C002626	5702-69-2
C002627	34424-57-2
C002628	40166-27-6
C002631	39962-28-2
C002638	36415-57-3
C002639	36415-56-2
C002640	21327-74-2
C002642	21079-31-2
C002645	53129-41-2
C002647	15421-51-9
C002649	37317-65-0
C002651	31935-07-6
C002652	19030-75-2
C002653	17432-95-0
C002656	3862-25-7
C002663	18503-71-4
C002664	3166-48-1
C002670	112-29-8
C002674	2562-54-1
C002676	65-21-4
C002677	33755-53-2
C002678	368-66-1
C002684	596-01-0
C002688	831-23-2
C002690	8067-46-7
C002699	22862-63-1
C002705	11015-47-7
C002712	8005-03-6
C002716	33825-81-9
C002717	17315-18-3
C002724	4302-88-9
C002726	1798-11-4
C002728	32357-11-2
C002730	10344-94-2
C002731	10357-27-4
C002732	7669-54-7
C002737	13675-92-8
C002738	869-01-2
C002742	932-83-2
C002746	8015-14-3
C002759	58934-32-0
C002764	1553-36-2
C002767	78355-47-2
C002771	2312-35-8
C002774	146-04-3
C002778	8069-45-2
C002780	31323-50-9
C002781	19683-98-8
C002783	78408-03-4
C002784	37213-77-7
C002785	8065-91-6
C002788	31540-68-8
C002795	28418-10-2
C002796	40487-95-4
C002799	20188-76-5
C002800	32754-06-6
C002801	13239-96-8
C002804	5692-27-3
C002810	38456-39-2
C002811	38456-36-9
C002814	885-23-4
C002816	41596-24-1
C002817	56227-39-5
C002819	54577-56-9
C002824	349-34-8
C002827	6615-01-6
C002829	5949-49-5
C002837	119-58-4
C002850	40795-59-3
C002851	24368-63-6
C002852	28200-94-4
C002855	40910-00-7
C002858	41451-68-7
C002859	41451-69-8
C002860	38473-18-6
C002862	40957-87-7
C002863	25346-09-2
C002865	1639-79-8
C002866	521-58-4
C002867	955-59-9
C002869	4968-68-7
C002871	21381-33-9
C002872	21416-43-3
C002874	41088-04-4
C002875	7654-03-7
C002876	16238-56-5
C002881	41265-63-8
C002888	326-56-7
C002889	407-64-7
C002891	30345-91-6
C002892	14096-51-6
C002895	33369-44-7
C002897	19355-90-9
C002899	39721-60-3
C002900	7635-03-2
C002901	4732-48-3
C002902	3773-16-8
C002903	4312-87-2
C002906	40709-76-0
C002908	13239-97-9
C002910	17781-34-9
C002911	39650-18-5
C002912	35048-47-6
C002913	37654-41-4
C002918	31654-43-0
C002920	11130-68-0
C002922	3214-64-0
C002924	29086-04-2
C002925	37345-24-7
C002931	53663-74-4
C002932	40580-75-4
C002938	39421-73-3
C002944	8065-60-9
C002946	52761-34-9
C002947	22255-40-9
C002948	37785-73-2
C002949	39932-40-6
C002951	32719-43-0
C002953	321-02-8
C002957	17510-99-5
C002960	469-06-7
C002961	25612-46-8
C002962	42459-12-1
C002964	38005-61-7
C002965	502-62-5
C002968	55607-88-0
C002969	12750-97-9
C002973	22199-48-0
C002974	10001-43-1
C002983	18353-77-0
C002984	5895-04-5
C002987	34375-78-5
C002988	16802-77-0
C002990	2769-64-4
C002991	50817-24-8
C002992	21149-26-8
C002993	30377-37-8
C002996	23656-00-0
C002998	41855-21-4
C002999	16941-12-1
C003000	39346-80-0
C003004	12174-41-3
C003006	37221-23-1
C003010	62669-67-4
C003013	2971-31-5
C003017	75993-91-8
C003019	14772-95-3
C003021	27160-72-1
C003022	24130-06-1
C003025	35059-06-4
C003027	22625-23-6
C003028	25713-24-0
C003029	7417-28-9
C003032	32454-05-0
C003033	65637-98-1
C003036	78457-02-0
C003037	17378-38-0
C003039	12676-80-1
C003041	9041-60-5
C003042	22631-97-6
C003045	51052-65-4
C003048	8058-79-5
C003050	17083-11-3
C003053	53034-67-6
C003058	53608-77-8
C003061	2765-11-9
C003064	35923-79-6
C003066	8056-60-8
C003071	335-56-8
C003079	8056-47-1
C003080	9003-22-9
C003082	36034-64-7
C003088	23419-81-0
C003090	10257-98-4
C003092	858-68-4
C003096	14149-34-9
C003099	35903-71-0
C003101	1198-98-7
C003104	735-78-4
C003107	3333-85-5
C003109	21413-28-5
C003113	42291-04-3
C003118	5337-17-7
C003122	35597-43-4
C003126	16051-76-6
C003128	5962-42-5
C003130	1110-99-2
C003147	34388-36-8
C003149	25061-78-3
C003151	28419-47-8
C003165	3819-09-8
C003168	8031-76-3
C003169	11016-27-6
C003172	25014-27-1
C003185	9011-05-6
C003191	43019-47-2
C003203	8024-67-7
C003208	8061-70-9
C003209	31908-49-3
C003210	37218-07-8
C003211	31852-19-4
C003213	17752-85-1
C003214	8061-91-4
C003215	37106-99-3
C003217	15886-84-7
C003219	50815-54-8
C003220	31528-25-3
C003221	78515-84-1
C003224	3687-16-9
C003232	9008-42-8
C003236	2828-42-4
C003239	37221-35-5
C003245	78515-89-6
C003254	269-75-0
C003257	14520-50-4
C003261	67910-15-0
C003263	35054-80-9
C003264	79329-89-8
C003284	78515-96-5
C003285	78515-97-6
C003286	10103-89-6
C003289	28399-50-0
C003291	29451-71-6
C003294	12770-40-0
C003299	36076-04-7
C003301	15381-61-0
C003303	79234-27-8
C003307	8063-28-3
C003312	5060-55-9
C003314	28526-44-5
C003317	19293-56-2
C003320	12136-83-3
C003322	29142-63-0
C003323	79215-55-7
C003325	22738-70-1
C003329	11076-17-8
C003337	25696-03-1
C003339	37244-77-2
C003343	12738-61-3
C003346	57035-76-4
C003349	29307-61-7
C003352	595-21-1
C003354	8059-84-5
