eidos	UN/properties/proportion	sofia	events1/Accessibility/Accessibility	0.32535862719758896
eidos	UN/properties/proportion	sofia	events1/Economy/Market	0.3249340201780584
eidos	UN/properties/proportion	sofia	events1/Economy/Commerce	0.3150820258411974
eidos	UN/properties/proportion	sofia	events2/Forecasting/Risk	0.3078585477606257
eidos	UN/properties/proportion	sofia	entities/Information_Sources	0.2345939022542733
eidos	UN/properties/proportion	sofia	entities/Leadership/Community	0.23337813013652003
eidos	UN/properties/proportion	sofia	entities/Industrial_Artifacts	0.21042468881407883
eidos	UN/properties/proportion	sofia	entities/Sciences_Education	0.20338549357565253
eidos	UN/properties/proportion	sofia	events2/Information_Manag/Cogn_Process	0.19259820857392168
eidos	UN/properties/proportion	sofia	entities/Agriculture/Chemical_Substances	0.19072841946540417
eidos	UN/properties/proportion	sofia	events1/Natural_Phenomena/Weather	0.1770829664244776
eidos	UN/properties/proportion	sofia	events1/Produce/Manufacture	0.17372455496768635
eidos	UN/properties/proportion	sofia	entities/Locales/Natural_features	0.17262969226799563
eidos	UN/properties/proportion	sofia	events2/Information_Manag/Emotion	0.16032227341193211
eidos	UN/properties/proportion	sofia	entities/Leadership/Corporation	0.15821100240132097
eidos	UN/properties/proportion	sofia	entities/Law_Policy	0.15442721121244463
eidos	UN/properties/proportion	sofia	entities/Leadership/Government	0.15022181711301644
eidos	UN/properties/proportion	sofia	events1/Death/Death	0.14206097549972313
eidos	UN/properties/proportion	sofia	events1/Health/Famine	0.140995895842585
eidos	UN/properties/proportion	sofia	events1/Produce/Agriculture	0.1269456831247274
eidos	UN/properties/proportion	sofia	events1/Health/Medicine	0.12638646435157694
eidos	UN/properties/proportion	sofia	entities/Agriculture/Animals	0.11290759871174193
eidos	UN/properties/proportion	sofia	entities/Locales/Artificial	0.10115259676350882
eidos	UN/properties/proportion	sofia	events2/Assistance/Assistance	0.10074087817622801
eidos	UN/properties/proportion	sofia	entities/Agriculture/Food	0.10028386840351902
eidos	UN/properties/proportion	sofia	events1/Movement/Human_Migration	0.10011069967527919
eidos	UN/properties/proportion	sofia	events2/Information_Manag/Communicate	0.09497164020719474
eidos	UN/properties/proportion	sofia	events1/Conflict/Hostility	0.09223359022795456
eidos	UN/properties/proportion	sofia	events2/Crisis/Crisis	0.09027520673225622
eidos	UN/properties/proportion	sofia	entities/Location/Geopolitical	0.08699264563442106
eidos	UN/properties/proportion	sofia	events1/Movement/Transportation	0.06273633706579997
eidos	UN/properties/proportion	sofia	events1/Conflict/Attack	-0.017421030970554825
eidos	UN/properties/distance	sofia	entities/Locales/Artificial	0.3712089196565862
eidos	UN/properties/distance	sofia	entities/Locales/Natural_features	0.3585982019816667
eidos	UN/properties/distance	sofia	entities/Industrial_Artifacts	0.21001550077813663
eidos	UN/properties/distance	sofia	entities/Agriculture/Animals	0.19359024063080563
eidos	UN/properties/distance	sofia	events1/Natural_Phenomena/Weather	0.18977644608620703
