Source Code	Target Coding Scheme	Target Code
C104075	HGNC	1694
C104078	HGNC	11937
C104085	HGNC	14460
C104088	HGNC	3466
C104091	HGNC	20945
C104094	HGNC	21014
C104097	HGNC	16665
C104105	HGNC	12539
C104108	HGNC	1706
C104111	HGNC	1723
C104114	HGNC	1814
C104117	HGNC	1834
C104120	HGNC	1161
C104123	HGNC	21699
C104126	HGNC	23749
C104129	HGNC	1608
C104132	HGNC	13258
C104135	HGNC	1727
C104138	HGNC	2295
C104141	HGNC	30185
C104144	HGNC	16642
C104147	HGNC	2602
C104150	HGNC	2605
C104156	HGNC	29841
C104159	HGNC	24132
C104162	HGNC	6392
C104165	HGNC	20778
C104169	HGNC	12408
C104173	HGNC	24313
C104176	HGNC	13709
C104179	HGNC	20113
C104182	HGNC	30915
C104185	HGNC	24944
C104188	HGNC	3265
C104191	HGNC	3282
C104196	HGNC	3309
C104204	HGNC	3350
C104207	HGNC	9718
C104210	HGNC	3357
C104213	HGNC	9646
C104217	HGNC	3530
C104218	HGNC	11949
C104222	HGNC	16731
C104224	HGNC	11947
C104228	HGNC	1577
C104231	HGNC	438
C104235	HGNC	2597
C104236	HGNC	3613
C104240	HGNC	9813
C104243	HGNC	20772
C104246	HGNC	10260
C104249	HGNC	11599
C104252	HGNC	6162
C104255	HGNC	2909
C104258	HGNC	24149
C104272	HGNC	15598
C104277	HGNC	18437
C104288	HGNC	19086
C104305	HGNC	3374
C104317	HGNC	4964
C104332	HGNC	5104
C104336	HGNC	5117
C104339	HGNC	5261
C104342	HGNC	6002
C104345	HGNC	6005
C104348	HGNC	18364
C104351	HGNC	18363
C104354	HGNC	4709
C104357	HGNC	6393
C104360	HGNC	6338
C104363	HGNC	6374
C104377	HGNC	4099
C104380	HGNC	19125
C104383	HGNC	3680
C104386	HGNC	3708
C104389	HGNC	3724
C104392	HGNC	3774
C104395	HGNC	6106
C104398	HGNC	3964
C104401	HGNC	4015
C104404	HGNC	4046
C104407	HGNC	6561
C104410	HGNC	4141
C104417	HGNC	4174
C104422	HGNC	4177
C104425	HGNC	18986
C104428	HGNC	18129
C104431	HGNC	4270
C104435	HGNC	4554
C104463	HGNC	4106
C104471	HGNC	4104
C104474	HGNC	4103
C104481	HGNC	4102
C104485	HGNC	4101
C104487	HGNC	4100
C104490	HGNC	4098
C104493	HGNC	942
C104497	HGNC	6797
C104500	HGNC	6800
C104503	HGNC	9165
C104507	HGNC	18128
C104510	HGNC	6796
C104513	HGNC	6802
C104516	HGNC	11906
C104518	HGNC	6804
C104522	HGNC	28515
C104525	HGNC	6812
C104528	HGNC	13574
C104531	HGNC	26226
C104534	HGNC	18254
C104537	HGNC	4881
C104539	HGNC	14374
C104544	HGNC	6732
C104545	HGNC	11004
C104549	HGNC	19077
C104552	HGNC	11586
C104555	HGNC	5358
C104559	HGNC	18284
C104561	HGNC	7756
C104564	HGNC	7661
C104567	HGNC	7861
C104571	HGNC	7891
C104573	HGNC	17514
C104576	HGNC	30809
C104579	HGNC	8955
C104582	HGNC	8829
C104585	HGNC	8017
C104588	HGNC	8022
C104591	HGNC	1043
C104612	HGNC	6838
C104615	HGNC	6677
C104618	HGNC	23379
C104621	HGNC	6476
C104625	HGNC	6737
C104628	HGNC	6499
C104631	HGNC	4975
C104634	HGNC	7228
C104637	HGNC	6862
C104640	HGNC	1474
C104643	HGNC	21163
C104646	HGNC	16875
C104649	HGNC	7091
C104652	HGNC	21086
C104655	HGNC	6131
C104658	HGNC	4053
C104661	HGNC	3299
C104666	HGNC	31875
C104670	HGNC	7390
C104682	HGNC	775
C104685	HGNC	2550
C104688	HGNC	7001
C104691	HGNC	7804
C104694	HGNC	30650
C104697	HGNC	11980
C104700	HGNC	2559
C104703	HGNC	7531
C104706	HGNC	1460
C104709	HGNC	9816
C104712	HGNC	9817
C104715	HGNC	16369
C104718	HGNC	272
C104721	HGNC	17609
C104724	HGNC	20992
C104727	HGNC	10387
C104730	HGNC	21199
C104736	HGNC	28611
C104741	HGNC	8777
C104750	HGNC	8801
C104753	HGNC	10025
C104756	HGNC	10289
C104759	HGNC	8809
C104762	HGNC	10304
C104765	HGNC	10430
C104768	HGNC	30287
C104771	HGNC	17296
C104774	HGNC	3169
C104777	HGNC	3167
C104780	HGNC	3170
C104783	HGNC	14299
C104786	HGNC	29602
C104790	HGNC	8877
C104793	HGNC	8962
C104796	HGNC	2752
C104799	HGNC	8987
C104802	HGNC	9404
C104805	HGNC	25209
C104808	HGNC	30100
C104811	HGNC	9748
C104815	HGNC	9785
C104818	HGNC	9803
C104822	HGNC	9065
C104828	HGNC	578
C104831	HGNC	1461
C104834	HGNC	1463
C104837	HGNC	1726
C104840	HGNC	22048
C104844	HGNC	7746
C104845	HGNC	579
C104849	HGNC	580
C104852	HGNC	924
C104855	HGNC	11171
C104858	HGNC	6563
C104861	HGNC	11837
C104864	HGNC	343
C104867	HGNC	23060
C104870	HGNC	1047
C104875	HGNC	20581
C104879	HGNC	23799
C104883	HGNC	1048
C104886	HGNC	1912
C104890	HGNC	1090
C104894	HGNC	3120
C104897	HGNC	24288
C104900	HGNC	24929
C104904	HGNC	30653
C104911	HGNC	17852
C104915	HGNC	3793
C104922	HGNC	7432
C104926	HGNC	2339
C104930	HGNC	1536
C104938	HGNC	2361
