CHEBI	PUBCHEM
2208	8148223
2209	223438825
2210	223438826
2212	160962743
2213	223438827
2215	11534182
2216	223438828
2220	223438256
2222	223438829
2226	252149694
2229	22396116
2233	50139457
2241	223438830
2244	223438831
2245	223438832
2246	223438833
2247	46530922
2251	162012088
2255	49742722
2256	223438834
2258	223438835
2259	223438836
2260	172120892
2261	223438837
2262	223438838
2264	223438839
2267	223438840
2268	223438841
2269	223438842
2270	223438843
2271	223438844
2277	223438845
2285	85240168
2286	223438846
2287	223438847
2288	22396021
2290	22396020
2294	223438848
2295	223438257
2296	223438849
2301	223438850
2302	223438851
2303	93165411
2304	223438852
2305	223438853
2306	223438854
2307	223438855
2310	223438856
2311	24398248
2312	223438857
2313	223438858
2314	223438859
2315	223438860
2316	223438861
2317	135610152
2318	223438862
2319	223438863
2320	223438864
2321	223438865
2323	163725480
2327	223438866
2328	223438867
2332	223438868
2333	223438869
2336	223438870
2340	8148222
2341	8148221
2355	223438871
2361	8147198
2364	11534181
2365	8147050
2366	11534180
2367	8148219
2368	8148218
2369	8148217
2372	8148216
2373	8147049
2374	8148215
2375	8148214
2376	8148213
2379	8148212
2380	8148211
2382	8147048
2393	123058750
2394	8145916
2401	8145915
2402	10318931
2404	8145914
2410	223438872
2411	49693502
2412	8145913
2413	8145912
2414	8147047
2415	8145911
2417	8145910
2422	8145909
2423	8148150
2424	49693501
2425	8145908
2427	223438873
2429	8147193
2430	8148149
2431	8145907
2433	8145906
2435	8145905
2436	8145904
2437	8148148
2438	8147861
2439	22396019
2440	8148147
2443	8148146
2444	8145903
2448	8145902
2450	8145901
2451	223438874
2452	223438875
2453	53801304
2456	223438876
2468	223438877
2471	223438878
2479	81058773
2480	46530921
2481	49693728
2482	46530610
2483	46530920
2485	124403639
2487	223438879
2488	223438880
2490	8145900
2492	223438881
2493	223438882
2494	223438883
2495	223438884
2497	223438885
2500	223438886
2501	223438887
2502	223438888
2503	223438889
2504	8147046
2505	8147473
2506	223438890
2507	223438891
2508	223438892
2511	17425491
2512	8145899
2513	22396018
2515	223438893
2516	223438894
2518	223438895
2519	136349030
2520	223438896
2521	223438897
2522	223438898
2523	8145898
2524	223438899
2527	223438900
2528	223438901
2529	223438902
2531	223438903
2532	223438904
2533	8146425
2534	8145897
2535	8145896
2536	8147860
2537	8147045
2538	8145895
2540	8145894
2542	8145893
2543	223438905
2544	223438906
2547	223438907
2548	223438908
2549	24398148
